Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,Tyres,DemandTruck
1150,4003,31031300,2000,32 MA,S8,S8,,32 MA,EXPORT,18 FT,,,,,1150/1180,3000,0.6666666666666666
1120,4000,31051300,500,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,4000,0.125
1150,4001,31051300,500,32 MA,S7_1,S7,,32 MA,EXPORT,18 FT,,,,,1150/1180,4000,0.125
1150,4003,31051300,980,32 MA,S8,S8,,32 MA,EXPORT,18 FT,,,,,1150/1180,4000,0.245
1120,4003,31079000,1000,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,5000,0.2
1120,4000,31321000,667,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,4000,0.16675
1120,4000,45375500,333,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,2000,0.1665
1120,4000,33011000,83,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,2000,0.0415
1120,4000,33071500,233,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,1000,0.233
1140,4003,50064000,1000,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,10000,0.1
1140,4000,50084000,3333,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1140,9000,0.37033333333333335
1140,4001,50084500,3333,32 MA,S2,S2,,32 MA,EXPORT,18 FT,,,,,1140,9000,0.37033333333333335
1120,4000,50021400,1500,18 FT,S4_1,S4,,32 MA,EXPORT,18 FT,,,,,1120,5000,0.3
1160,4000,50053900,4667,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1160,6000,0.7778333333333334
1160,4001,50053900,1000,18 FT,S2_1,S2,,32 MA,EXPORT,18 FT,,,,,1160,6000,0.16666666666666666
1160,4003,50053900,1000,32 MA,S1_2,S1,,32 MA,EXPORT,18 FT,,,,,1160,6000,0.16666666666666666

