Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,sortIndex,Date
1110,1110,N3,N3,32 MA,400025,DRS,SG2,0,7
1110,1110,N2,N2,32 MA,5050,APML,SG1,0,5
1130,1130,W6,W6,32 MA,5156,BLR,SG1,0,1
1140,1140,S3,S3,32 MA,400060,COSMO,SG2,0,6
1110,1110,N2,N2,32 MA,5053,DRS,SG1,0,2
1110,1110,N2,N2,32 MA,5301,DRS,SG1,0,4
1160,1160,S1,S1_1,32 MA,400073,LGB,SG2,0,9
1110,1110,N2,N2,32 MA,5306,DRS,SG2,0,9
1110,1110,N2,N2,32 MA,400294,DRS,SG2,0,6
1110,1110,N1,N1,32 MA,5152,APML,SG2,0,10
1110,1110,N1,N1,32 MA,400057,DRS,SG1,0,1
1160,1160,S1,S1_1,32 MA,400078,LGB,SG2,0,6
1110,1110,E2,E2,32 MA,6000,ANAND,SG1,0,5
1160,1160,S1,S1_1,18 FT,400074,APML,SG1,0,2
1130,1130,N9,N9,32 MA,5116,LGB,SG2,0,8
1110,1110,E2,E2,32 MA,6053,ANAND,SG1,0,2
1130,1130,N9,N9,32 MA,5114,LGB,SG1,0,3
1110,1110,E2,E2,32 MA,6102,ANAND,SG2,0,8
1110,1110,E2,E2,32 MA,400062,ANAND,SG2,0,10
1110,1110,E2,E2,32 MA,400307,ANAND,SG2,0,7
1110,1110,W2,W2,32 MA,7250,RCI,SG1,0,1
1130,1130,N9,N9,32 MA,5112,EXPRESS,SG2,0,9
1130,1130,N9,N9,32 MA,5109,EXPRESS,SG2,0,6
1110,1110,W2,W2,32 MA,7302,RCI,SG2,0,9
1110,1110,S3,S3,18 FT,8151,RCI,SG1,0,3
1110,1110,S3,S3,18 FT,8156,RCI,SG1,0,5
1110,1110,S3,S3,18 FT,8251,RCI,SG1,0,2
1130,1130,N9,N9,32 MA,5108,EAST INDIA,SG2,0,8
1110,1110,S3,S3,18 FT,8253,RCI,SG1,0,4
1110,1110,S3,S3,18 FT,8255,RCI,SG2,0,6
1110,1110,S3,S3,18 FT,8256,RCI,SG2,0,8
1130,1130,N9,N9,32 MA,5107,EAST INDIA,SG2,0,10
1110,1110,S3,S3,18 FT,8257,RCI,SG2,0,10
