Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,Date,,,,,Plant,1150,,,,,,,,,,
1110,1110,S3,S3,18 FT,400310,RCI,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,18 FT,8051,GNANABELLA,SG2,8,,,,,,,,,,,,,,,,
1110,1110,W1,W1,32 MA,7000,EAST INDIA,SG1,4,,,,,,,,,,,,,,,,
1110,1110,W1,W1,32 MA,7102,EAST INDIA,SG1,5,,,,,,,,,,,,,,,,
1110,1110,W1,W1,32 MA,7150,APML,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,18 FT,8006,EAST INDIA,SG1,1,,,,,,,,,,,,,,,,
1110,1110,W1,W1,32 MA,7152,APML,SG1,2,,,,,,,,,,,,,,,,
1110,1110,W1,W1,32 MA,400023,APML,SG1,3,,,,,,,,,,,,,,,,
1110,1110,W1,W1,32 MA,400048,MEGA,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,18 FT,8004,GNANABELLA,SG1,3,,,,,,,,,,,,,,,,
1110,1110,W1,W1,32 MA,400241,APML,SG2,6,,,,,,,,,,,,,,,,
1110,1110,W1,W1,32 MA,400341,MEGA,SG2,6,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,4000,KTC,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,18 FT,8003,GNANABELLA,SG1,4,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,4001,KTC,SG1,4,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,18 FT,8002,GNANABELLA,SG1,5,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,4003,KTC,SG1,5,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,32 MA,400311,COSMO,SG1,4,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8001,KTC,SG1,1,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8003,KTC,SG1,2,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8004,KTC,SG1,3,,,,,,,,,,,,,,,,
1120,1120,S4,S4_1,18 FT,8006,KTC,SG1,4,,,,,,,,,,,,,,,,
