Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck
1110,1110,7052,W1,W1,7000,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.048
1110,1110,7053,W1,W1,7000,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.04894444444444444
1110,1110,7054,W1,W1,7000,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.10927777777777778
1110,1110,7102,W1,W1,7102,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.116
1110,1110,7103,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.186
1110,1110,7104,W1,W1,7150,DEPOT,18 FT,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.03125
1110,1110,7150,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.5159296822177147
1110,1110,7151,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.02
1110,1110,7152,W1,W1,7152,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.18057142857142855
1110,1110,7153,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.20566666666666666
1110,1110,7155,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.08600000000000001
1110,1110,7250,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,1.450339756592292
1110,1110,7252,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.028
1110,1110,7253,W2,W2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.414
1110,1110,7254,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.43942857142857145
1110,1110,7302,W2,W2,7302,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.33399999999999996
