pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,Code,Destination,Cluster,SubCluster,RDC,TruckType,DestCategory,PreferredTruckType
63875,,0,,,,,,,,1110,111219,GULBARGA,S2,S2,,18 FT,OEM,32 MA
63873,,0,,,,,,,,1110,111932,RAJSAMAND,N3,N3,,32 MA,OEM,32 MA
63874,,0,,,,,,,,1110,111409,BARODA,W1,W1,,32 MA,OEM,32 MA
63872,,0,,,,,,,,1110,111656,NOIDA,N1,N1,,32 MA,OEM,32 MA
63870,,0,,,,,,,,1180,108540,JAIPUR,N6,N6,,32 MA,OEM,32 MA
63871,,0,,,,,,,,1180,109304,SOMAJIGUDA,S6,S6,,18 FT,OEM,32 MA
63868,,0,,,,,,,,1180,108076,CHITTORGARH,N6,N6,,32 MA,OEM,32 MA
63869,,0,,,,,,,,1180,109026,HYDERABAD,S6,S6,,18 FT,OEM,32 MA
63867,,0,,,,,,,,1180,107917,LONI,N4,N4,,32 MA,OEM,32 MA
63864,,0,,,,,,,,1180,107404,BARMANA,N5,N5,,32 MA,OEM,32 MA
63865,,0,,,,,,,,1180,107767,NAVI MUMBAI,W3,W3,,32 MA,OEM,32 MA
63866,,0,,,,,,,,1180,107424,LAKHERI,N6,N6,,32 MA,OEM,32 MA
63861,,0,,,,,,,,1180,104963,MALANJKHAND,W4,W4,,32 MA,OEM,32 MA
63862,,0,,,,,,,,1180,107382,KALARANGIATTA,E4,E4,,32 MA,OEM,32 MA
63863,,0,,,,,,,,1180,106823,BILASPUR,W4,W4,,32 MA,OEM,32 MA
63860,,0,,,,,,,,1180,106342,TIRUVALLA,S6,S6_3,,18 FT,OEM,32 MA
63859,,0,,,,,,,,1180,104932,GURGAON OE GODOWN,N4,N4,,32 MA,OEM,32 MA
63858,,0,,,,,,,,1180,104699,BURDWAN,E4,E4,,32 MA,OEM,32 MA
63857,,0,,,,,,,,1180,104687,PITHAMPUR OE GODOWN,W4,W4,,32 MA,OEM,32 MA
63856,,0,,,,,,,,1180,104672,BATHINDA,N5,N5,,32 MA,OEM,32 MA
63855,,0,,,,,,,,1180,104676,GUWAHATI,E4,E4,,32 MA,OEM,32 MA
63853,,0,,,,,,,,1180,103951,DAMANJODI,E4,E4,,32 MA,OEM,32 MA
63854,,0,,,,,,,,1180,104428,BARKAKANA,E3,E3,,32 MA,OEM,32 MA
63852,,0,,,,,,,,1180,104017,UPPAL,S6,S6,,18 FT,OEM,32 MA
63850,,0,,,,,,,,1180,103944,CHENNAI,S8,S8,,18 FT,OEM,32 MA
63851,,0,,,,,,,,1180,103950,SHRIRAMPUR,W3,W3,,32 MA,OEM,32 MA
63849,,0,,,,,,,,1180,103929,GUALI,E4,E4,,32 MA,OEM,32 MA
63847,,0,,,,,,,,1180,103851,CHANDRAPUR,W3,W3,,32 MA,OEM,32 MA
63848,,0,,,,,,,,1180,103920,JHINKPANI,E3,E3,,32 MA,OEM,32 MA
63846,,0,,,,,,,,1180,103860,NEYVELI,S8,S8,,18 FT,OEM,32 MA
63845,,0,,,,,,,,1180,103779,AHMEDABAD,W3,W3_1,,32 MA,OEM,32 MA
63844,,0,,,,,,,,1180,103205,CHANDRAPUR,W3,W3,,32 MA,OEM,32 MA
63843,,0,,,,,,,,1180,103204,TADALI,W3,W3,,32 MA,OEM,32 MA
63842,,0,,,,,,,,1180,103200,KIRANDUL,W4,W4,,32 MA,OEM,32 MA
63841,,0,,,,,,,,1180,103198,JABALPUR,W4,W4,,32 MA,OEM,32 MA
63840,,0,,,,,,,,1180,103186,RAIPUR,W4,W4,,32 MA,OEM,32 MA
63839,,0,,,,,,,,1180,103168,NAVI MUMBAI,W3,W3,,32 MA,OEM,32 MA
63838,,0,,,,,,,,1180,103147,HAZARIBAGH,E3,E3,,32 MA,OEM,32 MA
63837,,0,,,,,,,,1180,103148,NOAMUNDI,E3,E3,,32 MA,OEM,32 MA
63836,,0,,,,,,,,1180,103143,JODA,E4,E4,,32 MA,OEM,32 MA
63835,,0,,,,,,,,1180,103111,CHANDERIA,N6,N6,,32 MA,OEM,32 MA
63834,,0,,,,,,,,1180,103101,COIMBATORE,S8,S8,,18 FT,OEM,32 MA
63833,,0,,,,,,,,1180,103100,BHOGASAMUDRAM,S6,S6_1,,18 FT,OEM,32 MA
63832,,0,,,,,,,,1180,103099,WADI,S6,S6_2,,18 FT,OEM,32 MA
63831,,0,,,,,,,,1180,103093,BARDOL,E3,E3,,32 MA,OEM,32 MA
63830,,0,,,,,,,,1180,103091,CHANDRAPUR,W3,W3,,32 MA,OEM,32 MA
63829,,0,,,,,,,,1180,102936,VELLANAD,S6,S6_3,,18 FT,OEM,32 MA
63828,,0,,,,,,,,1180,102900,DHANSAR,E3,E3,,32 MA,OEM,32 MA
63827,,0,,,,,,,,1180,102898,RANCHI,E3,E3,,32 MA,OEM,32 MA
63826,,0,,,,,,,,1180,8401,PONDICHERRY,S8,S8,8300,18 FT,DEPOT,32 MA
63825,,0,,,,,,,,1180,8356,TANJORE,S8,S8,8300,18 FT,DEPOT,32 MA
63824,,0,,,,,,,,1180,8355,DINDIGUL,S8,S8,8300,18 FT,DEPOT,32 MA
63823,,0,,,,,,,,1180,8354,ERODE,S8,S8,8300,18 FT,DEPOT,32 MA
63822,,0,,,,,,,,1180,8353,TIRUNELVELI,S8,S8,8300,18 FT,DEPOT,32 MA
63821,,0,,,,,,,,1180,8352,MADURAI,S8,S8,8300,18 FT,DEPOT,32 MA
63820,,0,,,,,,,,1180,8351,COIMBATORE,S8,S8,8300,18 FT,DEPOT,32 MA
63819,,0,,,,,,,,1180,8315,SANKAGIRI,S8,S8,8300,18 FT,DEPOT,32 MA
63818,,0,,,,,,,,1180,8313,KRISHNAGIRI,S8,S8,8300,18 FT,DEPOT,32 MA
63815,,0,,,,,,,,1180,8306,NAMAKKAL,S8,S8,8300,18 FT,DEPOT,32 MA
63816,,0,,,,,,,,1180,8311,VELLORE,S8,S8,8300,18 FT,DEPOT,32 MA
63817,,0,,,,,,,,1180,8312,POONAMALLEE,S8,S8,8300,18 FT,DEPOT,32 MA
63814,,0,,,,,,,,1180,8304,TRICHY,S8,S8,8300,18 FT,DEPOT,32 MA
63813,,0,,,,,,,,1180,8305,NEYVELI,S9,S9_5,8300,18 FT,DEPOT,32 MA
63812,,0,,,,,,,,1180,8303,SALEM,S8,S8,8300,18 FT,DEPOT,32 MA
63811,,0,,,,,,,,1180,8302,GUINDY,S8,S8,8300,18 FT,DEPOT,32 MA
63810,,0,,,,,,,,1180,8300,CHENNAI RDC,S9,S9_5,8300,18 FT,DEPOT,18 FT
63809,,0,,,,,,,,1180,8301,CHENNAI,S8,S8,8300,18 FT,DEPOT,32 MA
63807,,0,,,,,,,,1180,8257,KHAMMAM,S6,S6,8150,18 FT,DEPOT,32 MA
63808,,0,,,,,,,,1180,8261,WARANGAL,S6,S6,8150,18 FT,DEPOT,32 MA
63805,,0,,,,,,,,1180,8256,CUDDAPAH,S6,S6_1,8300,18 FT,DEPOT,32 MA
63806,,0,,,,,,,,1180,8258,ONGOLE,S7,S7,8300,18 FT,DEPOT,32 MA
63803,,0,,,,,,,,1180,8254,KURNOOL,S6,S6_1,8150,18 FT,DEPOT,32 MA
63804,,0,,,,,,,,1180,8255,RAJAHMUNDRY,S7,S7,8150,18 FT,DEPOT,32 MA
63802,,0,,,,,,,,1180,8253,NELLORE,S6,S6_1,8300,18 FT,DEPOT,32 MA
63799,,0,,,,,,,,1180,8156,SHAMSHABAD,S9,S9_5,8150,18 FT,DEPOT,32 MA
63800,,0,,,,,,,,1180,8251,VIJAYAWADA,S7,S7,8150,18 FT,DEPOT,32 MA
63801,,0,,,,,,,,1180,8252,VISAKHAPATNAM,S7,S7,8150,18 FT,DEPOT,32 MA
63798,,0,,,,,,,,1180,8155,KARIMNAGAR,S6,S6,8150,18 FT,DEPOT,32 MA
63797,,0,,,,,,,,1180,8153,HASTHINAPUR,S9,S9_5,8150,18 FT,DEPOT,32 MA
63796,,0,,,,,,,,1180,8151,HYDERABAD,S9,S9_5,8150,18 FT,DEPOT,32 MA
63795,,0,,,,,,,,1180,8150,HYDERABAD RDC,S9,S9_5,8150,18 FT,DEPOT,18 FT
63794,,0,,,,,,,,1180,8107,KOTTAYAM,S6,S6_3,8110,18 FT,DEPOT,32 MA
63793,,0,,,,,,,,1180,8106,KANNUR,S6,S6_3,8110,18 FT,DEPOT,32 MA
63792,,0,,,,,,,,1180,8105,KALAMASERRY,S6,S6_3,8110,18 FT,DEPOT,32 MA
63791,,0,,,,,,,,1180,8104,PALAKKAD,S9,S9_5,8110,18 FT,DEPOT,32 MA
63790,,0,,,,,,,,1180,8102,CALICUT,S6,S6_3,8110,18 FT,DEPOT,32 MA
63789,,0,,,,,,,,1180,8103,TRIVANDRUM,S6,S6_3,8110,18 FT,DEPOT,32 MA
63788,,0,,,,,,,,1180,8101,ERNAKULAM,S6,S6_3,8110,18 FT,DEPOT,32 MA
63787,,0,,,,,,,,1180,8055,BIJAPUR,S6,S6_2,8150,18 FT,DEPOT,32 MA
63785,,0,,,,,,,,1180,8054,HOSPET,S7,S7,8010,18 FT,DEPOT,32 MA
63786,,0,,,,,,,,1180,8053,GULBARGA,S6,S6_2,8150,18 FT,DEPOT,32 MA
63783,,0,,,,,,,,1180,8052,HUBLI,S7,S7,8010,18 FT,DEPOT,32 MA
63784,,0,,,,,,,,1180,8051,BELGAUM,S7,S7,7150,18 FT,DEPOT,32 MA
63782,,0,,,,,,,,1180,8006,K R PURAM,S6,S6_2,8010,18 FT,DEPOT,32 MA
63781,,0,,,,,,,,1180,8004,SHIMOGA,S7,S7,8010,18 FT,DEPOT,32 MA
63780,,0,,,,,,,,1180,8005,MYSORE,S7,S7,8010,18 FT,DEPOT,32 MA
63779,,0,,,,,,,,1180,8002,MANGALORE,S7,S7,8010,18 FT,DEPOT,32 MA
63778,,0,,,,,,,,1180,8003,TUMKUR ROAD,S7,S7,8010,18 FT,DEPOT,32 MA
63777,,0,,,,,,,,1180,8001,BANGALORE,S7,S7,8010,18 FT,DEPOT,32 MA
63776,,0,,,,,,,,1180,7303,BILASPUR,W4,W4,7302,32 MA,DEPOT,32 MA
63775,,0,,,,,,,,1180,7304,SATNA,W4,W4,7250,32 MA,DEPOT,32 MA
63774,,0,,,,,,,,1180,7302,RAIPUR,W4,W4,7302,32 MA,DEPOT,32 MA
63773,,0,,,,,,,,1180,7301,JABALPUR,W4,W4,7250,32 MA,DEPOT,32 MA
63771,,0,,,,,,,,1180,7252,BHOPAL,W4,W4,7250,32 MA,DEPOT,32 MA
63772,,0,,,,,,,,1180,7254,RATLAM,W4,W4,7250,32 MA,DEPOT,32 MA
63770,,0,,,,,,,,1180,7253,GWALIOR,W4,W4,5040,32 MA,DEPOT,32 MA
63769,,0,,,,,,,,1180,7251,INDORE,W4,W4,7250,32 MA,DEPOT,32 MA
63768,,0,,,,,,,,1180,7161,JALGAON,W3,W3,7250,32 MA,DEPOT,32 MA
63767,,0,,,,,,,,1180,7250,INDORE RDC,W4,W4,7250,32 MA,DEPOT,32 MA
63765,,0,,,,,,,,1180,7157,SOLAPUR,W3,W3_2,7150,32 MA,DEPOT,32 MA
63766,,0,,,,,,,,1180,7158,CHANDRAPUR,W3,W3,7152,32 MA,DEPOT,32 MA
63764,,0,,,,,,,,1180,7156,AKOLA,W3,W3,7152,32 MA,DEPOT,32 MA
63761,,0,,,,,,,,1180,7154,NASIK,W3,W3,7150,32 MA,DEPOT,32 MA
63763,,0,,,,,,,,1180,7155,AHMEDNAGAR,W3,W3,7150,32 MA,DEPOT,32 MA
63762,,0,,,,,,,,1180,7153,AURANGABAD,W3,W3,7150,32 MA,DEPOT,32 MA
63760,,0,,,,,,,,1180,7152,NAGPUR,W3,W3,7152,32 MA,DEPOT,32 MA
63759,,0,,,,,,,,1180,7150,PUNE RDC,W3,W3,7150,32 MA,DEPOT,32 MA
