Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,oldTruckType,Tyres,DemandTruck
1170,4000,25387480,120,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,100,1.2
1160,4000,25388580,30,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,100,0.3
1170,4000,25388880,270,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,100,2.7
1170,4000,25389080,100,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,90,1.1111111111111112
1170,4000,25395480,130,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,90,1.4444444444444444
1170,4000,25398480,265,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,85,3.1176470588235294
1160,4000,25398490,125,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,85,1.4705882352941178
1160,4000,25399090,65,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1160,18 FT,85,0.7647058823529411
1140,4000,46031500,12665,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,50000,0.2533
1150,4000,46031500,6000,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,50000,0.12
1140,4000,40031500,3800,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,25000,0.152
1140,4000,40084500,230,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,20000,0.0115
1150,4000,40181500,6830,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,30000,0.22766666666666666
1140,4000,47031000,325,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,40000,0.008125
1140,4000,47051500,1430,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,30000,0.04766666666666667
1140,4000,47061500,1965,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,30000,0.0655
1150,4000,47071500,5,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,30000,0.00016666666666666666
