ClubPlant,Cluster,SubCluster,Destination,Operator,TruckType,NoofIndents
1120,N7,N7,5301,VARUNA,32 SA,2
1120,N7,N7,5305,DRS,32 MA,1
1120,N7,N7,5305,NSTCL,32 SA,1
1120,N7,N7,5305,VARUNA,32 SA,2
1120,N7,N7,5306,DRS,32 MA,1
1120,N7,N7,5306,LG BROTHERS,32 MA,1
1120,N7,N7,5306,NSTCL,32 SA,1
1120,N7,N7,5309,VARUNA,32 SA,1
1120,N7,N7_1,400151,EAST INDIA,32 SA,2
1120,N7,N7_1,400151,VARUNA,32 SA,5
1120,N7,N7_1,5203,VARUNA,32 MA,1
1120,S4,S4,400355,MEGA,18 FT,1
1120,S4,S4,8255,MEGA,18 FT,1
1120,S4,S4,8256,MEGA,18 FT,2
1120,S4,S4,8261,MEGA,18 FT,2
1120,S4,S4_1,400047,KTC,18 FT,3
1120,S4,S4_1,4001,EAST INDIA,18 FT,12
1120,S4,S4_1,4001,KTC,18 FT,5
1120,S4,S4_1,4001,VARUNA,18 FT,6
1120,S4,S4_1,400348,KTC,18 FT,1
1120,S4,S4_1,8002,KTC,18 FT,1
1120,S4,S4_1,8003,EAST INDIA,18 FT,1
1120,S4,S4_1,8003,KTC,18 FT,1
1120,S4,S4_1,8004,EAST,18 FT,1
1120,S4,S4_1,8004,EAST INDIA,18 FT,1
1120,S4,S4_1,8004,KTC,18 FT,2
1120,S4,S4_1,8005,KTC,18 FT,2
1120,S4,S4_1,8010,EAST INDIA,18 FT,3
1120,S4,S4_1,8010,KTC,18 FT,4
1120,S4,S4_1,8010,VARUNA,18 FT,3
1120,S4,S4_1,8051,KTC,18 FT,3
1120,S4,S4_1,8051,MEGA,18 FT,1
1120,S4,S4_1,8052,KTC,18 FT,4
1120,S4,S4_1,8054,EAST INDIA,18 FT,2
1120,S4,S4_1,8054,KTC,18 FT,2
1120,S4,S4_1,8055,KTC,18 FT,1
1120,S4,S4_1,8110,KTC,18 FT,3
1120,S4,S4_2,4000,EAST INDIA,18 FT,1
1120,S4,S4_2,4000,KTC,18 FT,2
1120,S4,S4_2,4000,RCI,18 FT,2
1120,S4,S4_2,4000,VARUNA,18 FT,5
1120,S4,S4_2,400024,DEDICATED,18 FT,1
1120,S4,S4_2,400024,DEDICATED,32 MA,1
1120,S4,S4_2,400024,EAST INDIA,18 FT,4
1120,S4,S4_2,400024,KTC,18 FT,6
1120,S4,S4_2,400024,RCI,18 FT,4
1120,S4,S4_2,400054,KTC,18 FT,1
1120,S4,S4_2,400063,KTC,18 FT,1
1120,S4,S4_2,400063,RCI,18 FT,1
1120,S4,S4_2,400068,EAST INDIA,24 FT,1
1120,S4,S4_2,400147,EAST INDIA,18 FT,1
1120,S4,S4_2,400147,KTC,18 FT,2
1120,S4,S4_2,400147,RCI,18 FT,1
1120,S4,S4_2,400147,VARUNA,18 FT,1
1120,S4,S4_2,4003,EAST INDIA,18 FT,12
1120,S4,S4_2,4003,KTC,18 FT,10
1120,S4,S4_2,4003,RCI,18 FT,1
1120,S4,S4_2,4003,VARUNA,18 FT,5
1120,S4,S4_2,400306,MEGA,18 FT,1
