Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,TruckDemandFinal
1120,1120,400349,W5,W5,,OEM,,,,,32 MA,1
1130,1130,4000,S9,S9_3,,EXPORT,,,,,32 MA,5
1130,1130,4002,E6,E6,,EXPORT,,,,,32 MA,2
1130,1130,4003,S9,S9_3,,EXPORT,,,,,32 MA,13
1130,1130,5001,N8,N8,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,1
1130,1130,5002,N8,N8,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,1
1130,1130,5004,N8,N8,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,1
1130,1130,5006,N8,N8,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,1
1130,1130,5040,N9,N9,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,5050,N8,N8,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,1
1130,1130,5051,N9,N9,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,5
1130,1130,5052,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,5053,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,3
1130,1130,5054,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,5055,N8,N8,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,3
1130,1130,5061,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,3
1130,1130,5101,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,5
1130,1130,5101,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,24 FT,1
1130,1130,5102,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,5
1130,1130,5103,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,3
1130,1130,5104,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,12
1130,1130,5104,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,24 FT,1
1130,1130,5105,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,4
1130,1130,5105,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,24 FT,1
1130,1130,5106,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,2
1130,1130,5107,N9,N9,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,4
1130,1130,5108,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,5108,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,24 FT,1
1130,1130,5109,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,5111,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,5112,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,2
1130,1130,5114,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,2
1130,1130,5115,N8,N8_1,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,5116,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,4
1130,1130,5120,N9,N9,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,2
1130,1130,5151,N8,N8_1,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,1
1130,1130,5152,N8,N8_1,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,3
1130,1130,5153,N8,N8_1,6200,DEPOT,E6,E6,DEPOT,32 MA,32 MA,1
1130,1130,5155,N8,N8_1,6200,DEPOT,E6,E6,DEPOT,32 MA,32 MA,1
1130,1130,5156,W6,W6,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,1
1130,1130,5203,N8,N8_1,5120,DEPOT,N9,N9,DEPOT,32 MA,32 MA,2
1130,1130,5206,N8,N8_1,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,1
1130,1130,5251,N8,N8,5050,DEPOT,N8,N8,DEPOT,32 MA,32 MA,1
1130,1130,5252,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,5301,N8,N8,5301,DEPOT,N8,N8,DEPOT,32 MA,32 MA,8
1130,1130,5303,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,5303,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,18 FT,1
1130,1130,5305,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,2
1130,1130,5306,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,2
1130,1130,5307,N8,N8,5040,DEPOT,N9,N9,DEPOT,32 MA,32 MA,1
1130,1130,6001,E6,E6_1,6000,DEPOT,E6,E6_1,DEPOT,32 MA,32 MA,1
1130,1130,6011,E6,E6_1,6000,DEPOT,E6,E6_1,DEPOT,32 MA,32 MA,1
