Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,oldTruckType,Tyres,DemandTruck
1120,400039,14118340,315,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,0.5748175182481752
1120,400039,14178640,120,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,365,0.3287671232876712
1120,400043,13118360,425,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,4.381443298969073
1120,400043,13128360,95,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,116,0.8189655172413793
1120,400043,13168360,200,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,90,2.2222222222222223
1120,400043,14118340,720,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,1.313868613138686
1120,400044,13118360,85,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,0.8762886597938144
1120,400044,13128360,130,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,116,1.1206896551724137
1120,400044,14118340,215,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,0.39233576642335766
1120,400045,13118360,85,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,0.8762886597938144
1120,400045,13168360,160,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,90,1.7777777777777777
1120,400045,13198360,60,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,75,0.8
1120,400045,14118340,165,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,0.3010948905109489
1120,400045,14178640,140,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,365,0.3835616438356164
1120,400047,13168360,50,18 FT,S4_1,S4,,18 FT,OEM,32 MA,,,,,1120,32 SA,50,1
1120,400047,14118340,50,18 FT,S4_1,S4,,18 FT,OEM,32 MA,,,,,1120,32 SA,400,0.125
1120,400047,34021500,40,18 FT,S4_1,S4,,18 FT,OEM,32 MA,,,,,1120,18 FT,3000,0.013333333333333334
1120,400048,13118360,85,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,0.8762886597938144
1120,400048,13168360,200,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,90,2.2222222222222223
1120,400048,14118340,185,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,0.3375912408759124
1120,400051,13118360,850,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,8.762886597938145
1120,400051,13168360,480,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,90,5.333333333333333
1120,400051,13198360,180,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,75,2.4
1120,400051,14118340,1090,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,1.989051094890511
1120,400051,14178640,420,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,365,1.1506849315068493
1120,400054,14178640,100,18 FT,S4_2,S4,,18 FT,OEM,32 MA,,,,,1120,32 SA,280,0.35714285714285715
1120,400057,33001000,60,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 MA,1000,0.06
1120,400057,45056000,200,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 MA,1000,0.2
1120,400057,45061000,136,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 MA,2000,0.068
1120,400057,45099000,50,32 MA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 MA,3000,0.016666666666666666
1120,400063,45057500,40,18 FT,S4_2,S4,,18 FT,OEM,32 MA,,,,,1120,18 FT,300,0.13333333333333333
1120,400063,45061000,40,18 FT,S4_2,S4,,18 FT,OEM,32 MA,,,,,1120,18 FT,1000,0.04
1120,400083,13118360,85,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,0.8762886597938144
1120,400083,13198360,60,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,75,0.8
1120,400083,14118340,85,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,0.1551094890510949
1120,400083,14178640,60,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,365,0.1643835616438356
1120,400147,13198360,40,18 FT,S4_2,S4,,18 FT,OEM,32 MA,,,,,1120,32 SA,40,1
1120,400294,13198360,30,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,75,0.4
1120,400310,13118360,280,32 MA,S9_2,S9,,18 FT,OEM,32 MA,,,,,1120,32 SA,140,2
1120,400310,13198360,50,32 MA,S9_2,S9,,18 FT,OEM,32 MA,,,,,1120,32 SA,80,0.625
1120,400310,14118340,280,32 MA,S9_2,S9,,18 FT,OEM,32 MA,,,,,1120,32 SA,941,0.2975557917109458
1120,400310,14178640,50,32 MA,S9_2,S9,,18 FT,OEM,32 MA,,,,,1120,32 SA,560,0.08928571428571429
1120,400318,13118360,85,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,0.8762886597938144
1120,400318,13128360,95,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,116,0.8189655172413793
1120,400318,13168360,80,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,90,0.8888888888888888
1120,400318,14118340,180,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,0.3284671532846715
1120,400318,14178640,80,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,365,0.2191780821917808
1120,400329,13198360,100,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,75,1.3333333333333333
1120,400329,14178640,50,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,365,0.136986301369863
1120,400347,13118360,425,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,4.381443298969073
1120,400347,13128360,100,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,116,0.8620689655172413
1120,400347,14118340,525,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,0.958029197080292
1120,400349,50021530,120,32 MA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 MA,5000,0.024
1130,104687,11121690,140,32 MA,W6,W6,,32 MA,OEM,32 MA,,,,,1130,32 MA,210,0.6666666666666666
1130,104687,11126480,180,32 MA,W6,W6,,32 MA,OEM,32 MA,,,,,1130,32 MA,210,0.8571428571428571
1130,104687,11128690,270,32 MA,W6,W6,,32 MA,OEM,32 MA,,,,,1130,32 MA,210,1.2857142857142858
1130,400035,11156480,125,32 MA,E6,E6,,32 MA,OEM,32 MA,,,,,1130,32 MA,250,0.5
1130,400071,25171690,455,32 MA,S9_3,S9,,18 FT,OEM,32 MA,,,,,1130,18 FT,130,3.5
1130,400196,11126480,180,18 FT,S5_1,S5,,18 FT,OEM,32 MA,,,,,1130,18 FT,105,1.7142857142857142
1130,400196,11128690,450,18 FT,S5_1,S5,,18 FT,OEM,32 MA,,,,,1130,18 FT,105,4.285714285714286
1130,400196,11137680,80,18 FT,S5_1,S5,,18 FT,OEM,32 MA,,,,,1130,18 FT,115,0.6956521739130435
1130,400349,11121480,80,32 MA,W6,W6,,32 MA,OEM,32 MA,,,,,1130,32 MA,210,0.38095238095238093
1130,400349,11121690,100,32 MA,W6,W6,,32 MA,OEM,32 MA,,,,,1130,32 MA,210,0.47619047619047616
1130,400349,11126480,40,32 MA,W6,W6,,32 MA,OEM,32 MA,,,,,1130,32 MA,210,0.19047619047619047
1140,104932,27165200,2000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3561,0.5616399887672002
1140,400003,20194000,6500,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2369,2.743773744195863
1140,400003,20195200,5500,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3265,1.6845329249617151
1140,400006,16340150,1000,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 SA,358,2.793296089385475
1140,400021,20184030,2500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2624,0.9527439024390244
1140,400021,20816120,5000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2291,2.182453077258839
1140,400021,20856240,2000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3583,0.5581914596706671
1140,400021,20856260,5000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3284,1.522533495736906
1140,400021,20887940,5000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2334,2.1422450728363325
1140,400021,21173600,6000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,5200,1.1538461538461537
1140,400021,21178040,8500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,4685,1.8143009605122733
1140,400021,27165200,2500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3561,0.7020499859590003
1140,400021,28174480,5000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,1839,2.718868950516585
1140,400027,15158720,700,18 FT,S2,S2,,18 FT,OEM,32 MA,,,,,1140,18 FT,400,1.75
1140,400027,35051500,700,18 FT,S2,S2,,18 FT,OEM,32 MA,,,,,1140,18 FT,7000,0.1
1140,400038,20186100,3000,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2479,1.210165389269867
1140,400038,26136420,10500,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 SA,1824,5.756578947368421
