Plant,SalesOffice,Material,Demand
1120,5001,31071000,34
1120,5002,31331000,5
1120,5002,71011530,5
1120,5002,71015400,5
1120,5002,31071000,14
1120,5002,72042000,15
1120,5002,64050700,19
1120,5002,64050390,27
1120,5002,64050650,29
1120,5002,64051800,34
1120,5002,64050680,38
1120,5002,72012000,48
1120,5002,64050020,50
1120,5002,74065200,55
1120,5002,71011320,61
1120,5002,64051240,67
1120,5002,64051160,68
1120,5002,64050420,132
1120,5002,64060270,150
1120,5002,61512020,200
1120,5002,61610080,208
1120,5002,64060400,223
1120,5002,61511010,476
1120,5002,64051310,713
1120,5004,31071000,14
1120,5006,31071000,10
1120,5040,13128960,1
1120,5040,13168360,4
1120,5040,13198360,16
1120,5040,14118440,18
1120,5040,14118240,58
1120,5040,14178640,70
1120,5040,14019740,130
1120,5040,14119740,224
1120,5050,13198360,2
1120,5050,13199760,2
1120,5050,13168360,4
1120,5050,14019740,18
1120,5050,14118240,40
1120,5050,13119760,50
1120,5050,14118440,54
1120,5050,14178640,54
1120,5050,13128960,83
1120,5051,34071000,5
1120,5051,71011730,5
1120,5051,72042000,7
1120,5051,31071000,9
1120,5051,42021000,16
1120,5051,64050680,19
1120,5051,33021000,20
1120,5051,42031000,26
1120,5051,64050520,28
1120,5051,64050640,28
1120,5051,33011000,30
1120,5051,64051800,34
1120,5051,64051740,37
1120,5051,64051700,38
1120,5051,64060400,112
1120,5051,34011000,132
1120,5052,34071000,5
1120,5052,33021000,10
1120,5052,33061000,10
1120,5052,33091000,11
1120,5052,13168360,13
1120,5052,31071000,14
1120,5052,33011000,18
1120,5052,42031000,26
1120,5052,42021000,65
1120,5052,34011000,124
1120,5053,34071000,5
1120,5053,42021000,5
1120,5053,33021000,5
1120,5053,33091000,5
1120,5053,42041000,10
1120,5053,33061000,10
1120,5053,33011000,12
1120,5053,42011000,18
1120,5053,42031000,66
1120,5053,34011000,72
1120,5054,13168360,2
1120,5054,42011000,5
1120,5054,31071000,5
1120,5054,33011000,5
1120,5054,33021000,5
1120,5054,34071000,10
1120,5054,42021000,27
1120,5054,34011000,28
1120,5054,42031000,32
1120,5055,64051720,2
1120,5055,13128960,4
1120,5055,34071000,5
1120,5055,71011320,5
1120,5055,71013200,5
1120,5055,72042000,6
1120,5055,31071000,9
1120,5055,33021000,10
1120,5055,64050410,25
1120,5055,33011000,29
1120,5055,64051310,32
1120,5055,64051820,36
1120,5055,64051700,39
1120,5055,64051240,67
1120,5055,64050390,80
1120,5055,34011000,106
1120,5055,64051710,192
1120,5055,64051680,332
1120,5055,64051800,369
1120,5055,64050640,370
1120,5055,64051740,746
1120,5061,42011000,5
1120,5061,31071000,5
1120,5061,33011000,5
1120,5061,33021000,5
1120,5061,33061000,5
1120,5061,33091000,5
1120,5061,71113600,5
1120,5061,42041000,10
1120,5061,34011000,31
1120,5061,64051160,35
1120,5061,64060410,38
1120,5061,42021000,54
1120,5061,42031000,54
1120,5061,64050020,201
1120,5071,31071000,4
1120,5071,42041000,5
1120,5071,33011000,5
1120,5071,33021000,5
1120,5071,42021000,10
1120,5071,42031000,20
1120,5071,34011000,30
1120,5101,31071000,5
1120,5101,31331000,5
1120,5101,13118360,10
1120,5101,33021000,18
1120,5101,64060230,19
1120,5101,64050790,23
1120,5101,64060240,28
1120,5101,64060400,28
1120,5101,64051680,31
1120,5101,33011000,35
1120,5101,64051160,35
1120,5101,64050830,38
1120,5101,64051700,38
1120,5101,64050700,56
1120,5101,64050020,100
1120,5101,64051800,168
1120,5101,34011000,198
1120,5102,72042000,4
1120,5102,31071000,5
1120,5102,71116410,5
