Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType,Month,Period,Year
1110,1110,7051,W1,W1,7051,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.08352941176470588,0,0.08352941176470588,0.08352941176470588,May,01,2016
1110,1110,7054,W1,W1,7000,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.07120085015940489,0,0.07120085015940489,0.07120085015940489,May,01,2016
1110,1110,7102,W1,W1,7102,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.1875,0,0.1875,0.1875,May,01,2016
1110,1110,7103,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.09585714285714285,0,0.09585714285714285,0.09585714285714285,May,01,2016
1110,1110,7104,W1,W1,7150,DEPOT,18 FT,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.02,0,0.02,0.04,May,01,2016
1110,1110,7150,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.225,0,0.225,0.225,May,01,2016
1110,1110,7151,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.2461064574607739,0,0.2461064574607739,0.2461064574607739,May,01,2016
1110,1110,7152,W1,W1,7152,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.04285714285714286,0,0.04285714285714286,0.04285714285714286,May,01,2016
1110,1110,7153,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.21147715196599362,0,0.21147715196599362,0.21147715196599362,May,01,2016
1110,1110,7155,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.1855818278427205,0,0.1855818278427205,0.1855818278427205,May,01,2016
1110,1110,7157,W1,W1,7150,DEPOT,32 MA,32 MA,W1,W1,DEPOT,32 MA,32 MA,0.015,0,0.015,0.015,May,01,2016
1110,1110,7250,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.15,0,0.15,0.15,May,01,2016
1110,1110,7251,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.545,0,0.545,0.545,May,01,2016
1110,1110,7252,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.15667234481465275,0,0.15667234481465275,0.15667234481465275,May,01,2016
1110,1110,7253,W2,W2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.21426673751328373,0,0.21426673751328373,0.21426673751328373,May,01,2016
1110,1110,7254,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.2499127068468195,0,0.2499127068468195,0.2499127068468195,May,01,2016
1110,1110,7301,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.28452089425152305,0,0.28452089425152305,0.28452089425152305,May,01,2016
1110,1110,7302,W2,W2,7302,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.3296692348565356,0,0.3296692348565356,0.3296692348565356,May,01,2016
1110,1110,7304,W2,W2,7250,DEPOT,32 MA,32 MA,W2,W2,DEPOT,32 MA,32 MA,0.33229813664596275,0,0.33229813664596275,0.33229813664596275,May,01,2016
1110,1110,8001,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.98,0,0.98,0.49,May,01,2016
1110,1110,8001,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,32 SA,0.10344827586206896,0,0.10344827586206896,0.10344827586206896,May,01,2016
1110,1110,8002,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.2,0,0.2,0.1,May,01,2016
1110,1110,8003,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.44000000000000006,0,0.44000000000000006,0.22000000000000003,May,01,2016
1110,1110,8003,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,32 SA,0.13793103448275862,0,0.13793103448275862,0.13793103448275862,May,01,2016
1110,1110,8004,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.03571428571428571,0,0.03571428571428571,0.017857142857142856,May,01,2016
1110,1110,8005,S2,S2,8010,DEPOT,32 MA,18 FT,S2,S2,DEPOT,18 FT,18 FT,0.3125,0,0.3125,0.15625,May,01,2016
