Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,TruckDemandFinal
1150,1150/1180,5301,N5,N5,5040,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0.5418023719827587
1150,1150/1180,5305,N5,N5,5040,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0.651787048031784
1150,1150/1180,5306,N5,N5,5040,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0.0256675028235267
1150,1150/1180,5307,N5,N5,5040,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0.12247541159420983
1150,1150/1180,5309,N5,N5,5040,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0.3264200579085461
1150,1150/1180,6000,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0.06687582186305341
1150,1150/1180,6001,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0.13511080890173321
1150,1150/1180,6003,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0.7420324236084173
1150,1150/1180,6004,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0.433696600060256
1150,1150/1180,6011,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0.359438817022683
1150,1150/1180,6012,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,18 FT,0.030293116858367553
1150,1150/1180,6013,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0.2475229194145263
1150,1150/1180,6053,E4,E4,6053,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0.031379432814525376
1150,1150/1180,6102,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0.6916027254054695
1150,1150/1180,6103,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,18 FT,0.057131078555697545
1150,1150/1180,6105,E4,E4,6000,DEPOT,E4,E4,DEPOT,32 MA,32 MA,0.07857142857142857
1150,1150/1180,6201,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,0.343618488063441
1150,1150/1180,6204,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,0.005436005499963814
1150,1150/1180,6206,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,0.10724301494015766
1150,1150/1180,6207,E3,E3,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,0.6365021578678969
1150,1150/1180,7000,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,0.3858385735028975
1150,1150/1180,7001,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,0.33966889233960673
1150,1150/1180,7004,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,0.2700000115556582
1150,1150/1180,7051,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,0.6100726179366331
1150,1150/1180,7052,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,0.3367912698308123
1150,1150/1180,7053,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,0.3018324386527398
1150,1150/1180,7054,W3,W3_1,7000,DEPOT,W3,W3_1,DEPOT,32 MA,32 MA,0.44012544865036096
1150,1150/1180,7102,W3,W3,7102,DEPOT,W3,W3,DEPOT,32 MA,32 MA,0.4521962199297729
1150,1150/1180,7103,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,0.5838733788884221
1150,1150/1180,7104,S,S,7150,DEPOT,W3,W3,DEPOT,32 MA,18 FT,0.28356471334614697
1150,1150/1180,7105,W3,W3,8150,DEPOT,S,S,DEPOT,32 MA,32 MA,0.7257956892201438
1150,1150/1180,7150,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,0.6250710120007723
1150,1150/1180,7151,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,0.23646248324592434
1150,1150/1180,7152,W3,W3,7152,DEPOT,W3,W3,DEPOT,32 MA,32 MA,0.5009011397389882
1150,1150/1180,7154,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,0.05395519625755241
1150,1150/1180,7155,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,0.3797323445152147
1150,1150/1180,7157,W3,W3,7150,DEPOT,W3,W3,DEPOT,32 MA,32 MA,0.2849657385466291
1150,1150/1180,7161,W3,W3,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,0.006566353780043777
1150,1150/1180,7250,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,0.7093917862898877
1150,1150/1180,7251,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,0.1373386269082042
1150,1150/1180,7252,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,0.17561204718155388
1150,1150/1180,7253,W4,W4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,0.4266389750924029
1150,1150/1180,7254,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,0.635822002703827
1150,1150/1180,7304,W4,W4,7250,DEPOT,W4,W4,DEPOT,32 MA,32 MA,0.38001883783728047
1150,1150/1180,8002,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.3140993686881757
1150,1150/1180,8003,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.08990860331007045
1150,1150/1180,8004,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.15626373877671706
1150,1150/1180,8005,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.27717880709133424
1150,1150/1180,8051,S,S,7150,DEPOT,W3,W3,DEPOT,32 MA,18 FT,0.33273212624547255
1150,1150/1180,8052,S,S,7150,DEPOT,W3,W3,DEPOT,32 MA,18 FT,0.21632142857142855
1150,1150/1180,8054,S,S,8150,DEPOT,S,S,DEPOT,32 MA,18 FT,0.06615981617663647
1150,1150/1180,8102,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.17773556998557005
1150,1150/1180,8103,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.150797619047619
1150,1150/1180,8104,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.16202208997745537
1150,1150/1180,8105,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.2533503036343875
1150,1150/1180,8106,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.22493903318903308
1150,1150/1180,8107,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0.16270756427143918
1150,1150/1180,8150,S,S,8150,DEPOT,S,S,DEPOT,32 MA,32 MA,0.5235190098726372
1150,1150/1180,8151,S,S,8150,DEPOT,S,S,DEPOT,32 MA,18 FT,0.21365707887058605
