pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,Tyres,DemandTruck
349,,349,{},1452163448,1452163448,19,19,,,1150,104932,27160200,01To10,600,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3561,0.16849199663016007
350,,350,{},1452163448,1452163448,19,19,,,1150,104932,27165200,01To10,4000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3561,1.1232799775344005
351,,351,{},1452163448,1452163448,19,19,,,1150,104932,27166230,01To10,4000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3561,1.1232799775344005
352,,352,{},1452163448,1452163448,19,19,,,1150,400011,26143040,01To10,900,32 MA,N5,N5,,32 MA,OEM,32 MA,,,,,1150/1180,2076,0.43352601156069365
353,,353,{},1452163448,1452163448,19,19,,,1150,400020,21173600,01To10,2500,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,0.5336179295624333
354,,354,{},1452163448,1452163448,19,19,,,1150,400021,20856200,01To10,0,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,1792,0
355,,355,{},1452163448,1452163448,19,19,,,1150,400021,20856240,01To10,5000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3882,1.287995878413189
356,,356,{},1452163448,1452163448,19,19,,,1150,400021,20856500,01To10,5000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,2986,1.6744809109176155
357,,357,{},1452163448,1452163448,19,19,,,1150,400021,21173600,01To10,17000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,3.6286019210245466
358,,358,{},1452163448,1452163448,19,19,,,1150,400024,13098360,01To10,30,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,200,0.15
359,,359,{},1452163448,1452163448,19,19,,,1150,400031,11130480,01To10,690,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,230,3
360,,360,{},1452163448,1452163448,19,19,,,1150,400031,11136980,01To10,345,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,230,1.5
361,,361,{},1452163448,1452163448,19,19,,,1150,400031,12156210,01To10,12,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,90,0.13333333333333333
362,,362,{},1452163448,1452163448,19,19,,,1150,400031,12166880,01To10,60,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,500,0.12
363,,363,{},1452163448,1452163448,19,19,,,1150,400031,12168180,01To10,45,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,488,0.09221311475409837
364,,364,{},1452163448,1452163448,19,19,,,1150,400034,12166880,01To10,75,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,500,0.15
365,,365,{},1452163448,1452163448,19,19,,,1150,400035,11130480,01To10,805,32 MA,E3,E3,,32 MA,OEM,32 MA,,,,,1150/1180,230,3.5
366,,366,{},1452163448,1452163448,19,19,,,1150,400035,11136980,01To10,345,32 MA,E3,E3,,32 MA,OEM,32 MA,,,,,1150/1180,230,1.5
367,,367,{},1452163448,1452163448,19,19,,,1150,400038,20186020,01To10,3000,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,2139,1.402524544179523
368,,368,{},1452163448,1452163448,19,19,,,1150,400038,20856120,01To10,3000,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,3284,0.9135200974421437
369,,369,{},1452163448,1452163448,19,19,,,1150,400057,15137780,01To10,175,32 SA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,213,0.8215962441314554
370,,370,{},1452163448,1452163448,19,19,,,1150,400057,29156160,01To10,80,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,80,1
371,,371,{},1452163448,1452163448,19,19,,,1150,400057,29161160,01To10,96,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,64,1.5
372,,372,{},1452163448,1452163448,19,19,,,1150,400058,21173600,01To10,2500,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,0.5336179295624333
373,,373,{},1452163448,1452163448,19,19,,,1150,400059,21173600,01To10,5000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.0672358591248665
374,,374,{},1452163448,1452163448,19,19,,,1150,400061,16110280,01To10,80,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,500,0.16
375,,375,{},1452163448,1452163448,19,19,,,1150,400061,16126670,01To10,350,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,540,0.6481481481481481
376,,376,{},1452163448,1452163448,19,19,,,1150,400062,29147260,01To10,6,32 MA,E4,E4,,32 MA,OEM,32 MA,,,,,1150/1180,26,0.23076923076923078
377,,377,{},1452163448,1452163448,19,19,,,1150,400062,29161120,01To10,18,32 MA,E4,E4,,32 MA,OEM,32 MA,,,,,1150/1180,51,0.35294117647058826
378,,378,{},1452163448,1452163448,19,19,,,1150,400063,15137780,01To10,40,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,320,0.125
379,,379,{},1452163448,1452163448,19,19,,,1150,400066,25197240,01To10,4,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,16,0.25
380,,380,{},1452163448,1452163448,19,19,,,1150,400068,20111320,01To10,0,18 FT,S,S,,18 FT,OEM,18 FT,,,,,1150/1180,1000,0
381,,381,{},1452163448,1452163448,19,19,,,1150,400068,20112320,01To10,0,18 FT,S,S,,18 FT,OEM,18 FT,,,,,1150/1180,1000,0
382,,382,{},1452163448,1452163448,19,19,,,1150,400075,26136420,01To10,3500,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,4056,0.8629191321499013
383,,383,{},1452163448,1452163448,19,19,,,1150,400075,26143040,01To10,1800,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,2076,0.8670520231213873
384,,384,{},1452163448,1452163448,19,19,,,1150,400078,12166880,01To10,100,18 FT,S,S,,18 FT,OEM,18 FT,,,,,1150/1180,250,0.4
385,,385,{},1452163448,1452163448,19,19,,,1150,400090,15137780,01To10,0,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,320,0
386,,386,{},1452163448,1452163448,19,19,,,1150,400126,11130480,01To10,115,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,230,0.5
387,,387,{},1452163448,1452163448,19,19,,,1150,400191,11130480,01To10,115,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,230,0.5
388,,388,{},1452163448,1452163448,19,19,,,1150,400191,11136480,01To10,115,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,230,0.5
389,,389,{},1452163448,1452163448,19,19,,,1150,400206,13098360,01To10,0,32 SA,N5,N5,,32 MA,OEM,32 MA,,,,,1150/1180,181,0
390,,390,{},1452163448,1452163448,19,19,,,1150,400286,20856240,01To10,8500,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,3882,2.1895929933024214
391,,391,{},1452163448,1452163448,19,19,,,1150,400286,20856500,01To10,8500,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,2986,2.8466175485599465
392,,392,{},1452163448,1452163448,19,19,,,1150,400295,21178040,01To10,6000,32 MA,W4,W4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.2806830309498398
393,,393,{},1452163448,1452163448,19,19,,,1150,400307,29147260,01To10,4,32 MA,E4,E4,,32 MA,OEM,32 MA,,,,,1150/1180,26,0.15384615384615385
394,,394,{},1452163448,1452163448,19,19,,,1150,400307,29147400,01To10,16,32 MA,E4,E4,,32 MA,OEM,32 MA,,,,,1150/1180,26,0.6153846153846154
395,,395,{},1452163448,1452163448,19,19,,,1150,400311,21173600,01To10,15000,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,4685,3.2017075773746
396,,396,{},1452163448,1452163448,19,19,,,1150,400329,13078330,01To10,500,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,240,2.0833333333333335
397,,397,{},1452163448,1452163448,19,19,,,1150,400329,13098360,01To10,0,32 MA,W3,W3,,32 MA,OEM,32 MA,,,,,1150/1180,200,0
398,,398,{},1452163448,1452163448,19,19,,,1150,400335,21173600,01To10,5000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.0672358591248665
399,,399,{},1452163448,1452163448,19,19,,,1150,400335,21178040,01To10,2000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,0.42689434364994666
400,,400,{},1452163448,1452163448,19,19,,,1150,400350,21173600,01To10,5000,32 MA,W3_1,W3,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.0672358591248665
461,,461,{},1452163448,1452163448,19,19,,,1180,400021,21173600,01To10,8000,32 MA,N4,N4,,32 MA,OEM,32 MA,,,,,1150/1180,4685,1.7075773745997866
462,,462,{},1452163448,1452163448,19,19,,,1180,400074,16331621,01To10,250,32 MA,S,S,,32 MA,OEM,18 FT,,,,,1150/1180,437,0.5720823798627003
