Plant,Destination,Cluster,SubCluster,RDC,DestCategory,TruckType,DemandTruck,DemandTruckFinal
1150,6200,E3,E3,6200,DEPOT,32 MA,3.0597293130908065,0.059729313090806535
1150,7000,W3,W3_1,7000,DEPOT,32 MA,0.6181459979524829,0.6181459979524829
1150,7000,W3,W3_1,7000,DEPOT,32 SA,0.04419889502762431,0.04419889502762431
1150,7000,W3,W3_1,7000,DEPOT,32 MA,2.2017094627146,0.2017094627146001
1150,7000,W3,W3_1,7000,DEPOT,32 SA,0.28852056476365867,0.28852056476365867
1150,7000,W3,W3_1,7000,DEPOT,32 MA,2.030978662649863,0.030978662649863153
1150,7000,W3,W3_1,7000,DEPOT,32 MA,1.4276131570141386,0.4276131570141386
1150,7000,W3,W3_1,7000,DEPOT,32 SA,0.12962962962962962,0.12962962962962962
1150,7000,W3,W3_1,7000,DEPOT,32 MA,0.4236301794081879,0.4236301794081879
1150,7000,W3,W3_1,7000,DEPOT,32 SA,0.09259259259259259,0.09259259259259259
1150,7000,W3,W3_1,7000,DEPOT,32 SA,0.4758806764844242,0.4758806764844242
1150,7000,W3,W3_1,7000,DEPOT,32 MA,0.4207898025301785,0.4207898025301785
1150,7000,W3,W3_1,7000,DEPOT,32 SA,0.041237113402061855,0.041237113402061855
1150,7000,W3,W3_1,7000,DEPOT,32 MA,0.22171620041193377,0.22171620041193377
1150,7000,W3,W3_1,7000,DEPOT,32 SA,0.041237113402061855,0.041237113402061855
1150,7000,W3,W3_1,7000,DEPOT,32 MA,1.2316486739374504,0.23164867393745037
1150,7000,W3,W3_1,7000,DEPOT,32 SA,0.28105177000204623,0.28105177000204623
1150,NAVI MUMBAI MOGO,W3,W3,NAVI MUMBAI MOGO,DEPOT,32 MA,2.128841768957885,0.1288417689578849
1150,NAVI MUMBAI MOGO,W3,W3,NAVI MUMBAI MOGO,DEPOT,32 SA,0.020618556701030927,0.020618556701030927
1150,7150,W3,W3,7150,DEPOT,32 SA,0.20618556701030927,0.20618556701030927
1150,7150,S,S,7150,DEPOT,32 MA,0.298003298216952,0.298003298216952
1150,8150,W3,W3,8150,DEPOT,32 MA,3.411636342229848,0.41163634222984813
1150,8150,W3,W3,8150,DEPOT,32 SA,0.5339824360442916,0.5339824360442916
1150,7150,W3,W3,7150,DEPOT,32 SA,0.022099447513812154,0.022099447513812154
1150,7150,W3,W3,7150,DEPOT,32 MA,2.601716400246112,0.601716400246112
1150,7150,W3,W3,7150,DEPOT,32 SA,0.14012982054219167,0.14012982054219167
1150,NAGPUR MOGO,W3,W3,NAGPUR MOGO,DEPOT,32 MA,5.235731372879807,0.2357313728798074
1150,NAGPUR MOGO,W3,W3,NAGPUR MOGO,DEPOT,32 SA,0.19314917127071823,0.19314917127071823
1150,7150,W3,W3,7150,DEPOT,32 SA,0.4018709431080565,0.4018709431080565
1150,7150,W3,W3,7150,DEPOT,32 MA,1.7200456083735882,0.7200456083735882
1150,7150,W3,W3,7150,DEPOT,32 SA,0.2411225658648339,0.2411225658648339
1150,7150,W3,W3,7150,DEPOT,32 MA,1.2812690588252957,0.28126905882529574
1150,7150,W3,W3,7150,DEPOT,32 SA,0.16494845360824742,0.16494845360824742
1150,7150,W3,W3,7150,DEPOT,32 MA,1.4386355707562204,0.4386355707562204
1150,7150,W3,W3,7150,DEPOT,32 SA,0.10309278350515463,0.10309278350515463
1150,7250,W3,W3,7250,DEPOT,32 SA,0.037037037037037035,0.037037037037037035
1150,7250,W4,W4,7250,DEPOT,32 SA,0.731049723756906,0.731049723756906
1150,7250,W4,W4,7250,DEPOT,32 SA,0.2,0.2
1150,7250,W4,W4,7250,DEPOT,32 MA,2.4897118063428687,0.4897118063428687
1150,7250,W4,W4,7250,DEPOT,32 MA,2.2931219314428786,0.29312193144287857
1150,7250,W4,W4,7250,DEPOT,32 SA,0.2962962962962963,0.2962962962962963
1150,7250,W4,W4,7250,DEPOT,32 MA,2.0703114952135,0.07031149521350022
1150,7250,W4,W4,7250,DEPOT,32 SA,0.5266666666666666,0.5266666666666666
1150,RAIPUR MOGO,W4,W4,RAIPUR MOGO,DEPOT,32 SA,1.2525925925925925,0.2525925925925925
1150,7250,W4,W4,7250,DEPOT,32 MA,1.054641188989754,0.05464118898975401
1150,8300,S,S,8300,DEPOT,32 MA,1.0632537714859605,0.06325377148596045
1150,8300,S,S,8300,DEPOT,32 SA,0.2067350998546533,0.2067350998546533
1150,8300,S,S,8300,DEPOT,32 MA,0.31025064719428663,0.31025064719428663
1150,8300,S,S,8300,DEPOT,32 MA,1.0917118230773408,0.09171182307734083
1150,8300,S,S,8300,DEPOT,32 SA,0.6105668520944479,0.6105668520944479
1150,8300,S,S,8300,DEPOT,32 MA,0.5150942826537768,0.5150942826537768
1150,8300,S,S,8300,DEPOT,32 SA,0.11951126384116074,0.11951126384116074
1150,8300,S,S,8300,DEPOT,32 MA,0.5591795148031671,0.5591795148031671
1150,8300,S,S,8300,DEPOT,32 SA,0.061855670103092786,0.061855670103092786
1150,8300,S,S,8300,DEPOT,32 MA,0.5914229769937999,0.5914229769937999
1150,8300,S,S,8300,DEPOT,32 SA,0.23685287497442192,0.23685287497442192
1150,7150,S,S,7150,DEPOT,32 MA,0.41234553396042806,0.41234553396042806
1150,7150,S,S,7150,DEPOT,32 SA,0.07407407407407407,0.07407407407407407
1150,7150,S,S,7150,DEPOT,18 FT,1.6493563492063497,0.6493563492063497
1150,8150,S,S,8150,DEPOT,32 MA,0.6877112809856905,0.6877112809856905
1150,8150,S,S,8150,DEPOT,32 SA,0.1072232453447923,0.1072232453447923
1150,8150,S,S,8150,DEPOT,32 MA,0.22169942878168442,0.22169942878168442
1150,8150,S,S,8150,DEPOT,32 SA,0.7271859488354333,0.7271859488354333
1150,8150,S,S,8150,DEPOT,32 MA,0.49034067797637193,0.49034067797637193
1150,8300,S,S,8300,DEPOT,18 FT,3.2822575757575763,0.28225757575757626
1150,8300,S,S,8300,DEPOT,32 MA,1.1331053957605621,0.13310539576056213
1150,8300,S,S,8300,DEPOT,32 MA,0.29833382196785624,0.29833382196785624
1150,8150,S,S,8150,DEPOT,32 SA,1.523820047355959,0.5238200473559591
1150,8150,S,S,8150,DEPOT,32 SA,0.3085287919348408,0.3085287919348408
1150,8150,S,S,8150,DEPOT,32 MA,7.08825121512447,0.08825121512446987
1150,8150,S,S,8150,DEPOT,32 SA,0.18518518518518517,0.18518518518518517
1150,8150,S,S,8150,DEPOT,32 MA,4.590061375500019,0.590061375500019
1150,8150,S,S,8150,DEPOT,32 SA,0.4580509198610241,0.4580509198610241
1150,8150,S,S,8150,DEPOT,32 SA,0.38507063764795724,0.38507063764795724
1150,8150,S,S,8150,DEPOT,32 MA,6.581457103689872,0.5814571036898721
1150,8150,S,S,8150,DEPOT,32 SA,0.6076746849942727,0.6076746849942727
1150,8150,S,S,8150,DEPOT,18 FT,6.356305193236715,0.3563051932367154
1150,8150,S,S,8150,DEPOT,32 SA,0.07617411225658648,0.07617411225658648
1150,8300,S,S,8300,DEPOT,32 MA,0.38088614728516873,0.38088614728516873
1150,8300,S,S,8300,DEPOT,32 SA,0.25925925925925924,0.25925925925925924
1150,8150,S,S,8150,DEPOT,32 SA,0.2268041237113402,0.2268041237113402
1150,8150,S,S,8150,DEPOT,32 MA,5.661721943183404,0.6617219431834043
1150,8150,S,S,8150,DEPOT,32 SA,1.5184721088349271,0.5184721088349271
1150,8300,S,S,8300,DEPOT,32 MA,1.6607254016591966,0.6607254016591966
1150,8300,S,S,8300,DEPOT,32 SA,1.0525009545628103,0.05250095456281034
1150,8150,S,S,8150,DEPOT,32 MA,3.298257053271567,0.29825705327156715
1150,8150,S,S,8150,DEPOT,32 SA,0.5769377625047728,0.5769377625047728
1150,8300,S,S,8300,DEPOT,32 SA,0.43470790378006874,0.43470790378006874
1150,8150,S,S,8150,DEPOT,32 MA,1.4197023615628614,0.41970236156286145
1150,8150,S,S,8150,DEPOT,32 SA,0.5567010309278351,0.5567010309278351
1150,8300,S,S,8300,DEPOT,32 SA,0.04419889502762431,0.04419889502762431
1150,8300,S,S,8300,DEPOT,18 FT,0.7057000000000001,0.7057000000000001
1150,8300,S,S,8300,DEPOT,32 SA,0.020618556701030927,0.020618556701030927
1150,8300,S,S,8300,DEPOT,18 FT,1.0978752765752764,0.0978752765752764
1150,8300,S,S,8300,DEPOT,32 SA,0.041237113402061855,0.041237113402061855
1150,8300,S,S,8300,DEPOT,18 FT,1.3052419913419917,0.3052419913419917
1150,8300,S,S,8300,DEPOT,32 MA,1.0025527945351211,0.002552794535121139
1150,8300,S,S,8300,DEPOT,32 SA,0.08247422680412371,0.08247422680412371
1150,8300,S,S,8300,DEPOT,32 SA,0.20408552882779687,0.20408552882779687
1150,8300,S,S,8300,DEPOT,32 MA,0.43525345679525734,0.43525345679525734
1150,8300,S,S,8300,DEPOT,32 SA,0.020618556701030927,0.020618556701030927
1150,8300,S,S,8300,DEPOT,32 MA,0.6517950016044814,0.6517950016044814
1150,8300,S,S,8300,DEPOT,32 MA,0.16116577060098985,0.16116577060098985
1150,8300,S,S,8300,DEPOT,32 MA,0.49050789222221497,0.49050789222221497
1150,8300,S,S,8300,DEPOT,32 SA,0.23692248949980907,0.23692248949980907
1150,8300,S,S,8300,DEPOT,18 FT,2.2672432178932187,0.2672432178932187
1150,8300,S,S,8300,DEPOT,32 SA,0.21420389461626574,0.21420389461626574
1150,8300,S,S,8300,DEPOT,32 MA,0.3361931320966783,0.3361931320966783
1150,8300,S,S,8300,DEPOT,32 MA,0.1645598340935926,0.1645598340935926
1150,8300,S,S,8300,DEPOT,32 SA,0.14012982054219167,0.14012982054219167
1180,5050,N4,N4,5050,DEPOT,32 MA,0.7034806448466265,0.7034806448466265
1180,5050,N4,N4,5050,DEPOT,32 MA,0.49449959042047575,0.49449959042047575
1180,5050,N4,N4,5050,DEPOT,32 MA,0.454096689098343,0.454096689098343
1180,5050,N4,N4,5050,DEPOT,32 MA,0.5417866357364529,0.5417866357364529
1180,5040,N6,N6,5040,DEPOT,32 MA,0.32640088156473107,0.32640088156473107
1180,5050,N5,N5,5050,DEPOT,32 MA,0.47398780650482697,0.47398780650482697
1180,5050,N6,N6,5050,DEPOT,32 MA,0.5669688846318044,0.5669688846318044
1180,5040,N5,N5,5040,DEPOT,32 MA,0.30112270792889173,0.30112270792889173
1180,5040,N5,N5,5040,DEPOT,32 MA,0.3263754740672247,0.3263754740672247
1180,5050,N4,N4,5050,DEPOT,32 MA,0.4723364836350691,0.4723364836350691
1180,5040,N5,N5,5040,DEPOT,32 MA,0.4729643476139605,0.4729643476139605
1180,5050,N4,N4,5050,DEPOT,32 MA,0.4754170711652603,0.4754170711652603
1180,5120,N6,N6,5120,DEPOT,32 MA,0.5910551875244792,0.5910551875244792
1180,5120,N6,N6,5120,DEPOT,32 MA,0.2383165285543789,0.2383165285543789
1180,5120,N6,N6,5120,DEPOT,32 MA,0.2802168839675082,0.2802168839675082
1180,5120,N6,N6,5120,DEPOT,32 MA,0.2169191188032213,0.2169191188032213
1180,5120,N6,N6,5120,DEPOT,32 MA,0.028185486806660633,0.028185486806660633
1180,5120,N6,N6,5120,DEPOT,32 MA,0.3974053564346503,0.3974053564346503
1180,5050,N6,N6,5050,DEPOT,32 MA,0.2585281795444436,0.2585281795444436
1180,5120,N6,N6,5120,DEPOT,32 MA,0.39517042030672883,0.39517042030672883
