pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,SubCluster,Cluster,RDC,TruckType,DestCategory,Tyres,DemandTruck
255,,255,{},1450709139,1450709139,19,19,,,1150,5109,21113920,01To10,8,N6,N6,5120,32 MA,DEPOT,4375,0.0018285714285714285
256,,256,{},1450709139,1450709139,19,19,,,1150,5111,21113920,01To10,5,N6,N6,5120,32 MA,DEPOT,4375,0.001142857142857143
257,,257,{},1450709139,1450709139,19,19,,,1150,5114,21113920,01To10,9,N6,N6,5120,32 MA,DEPOT,4375,0.002057142857142857
258,,258,{},1450709139,1450709139,19,19,,,1150,5152,21113920,01To10,19,N4_1,N4,5050,32 MA,DEPOT,4375,0.004342857142857143
259,,259,{},1450709139,1450709139,19,19,,,1150,5201,21113920,01To10,18,N4_1,N4,5050,32 MA,DEPOT,4375,0.004114285714285714
260,,260,{},1450709139,1450709139,19,19,,,1150,5203,21113920,01To10,10,N4_1,N4,5120,32 MA,DEPOT,4375,0.002285714285714286
261,,261,{},1450709139,1450709139,19,19,,,1150,5206,21113920,01To10,10,N4_1,N4,5050,32 MA,DEPOT,4375,0.002285714285714286
262,,262,{},1450709139,1450709139,19,19,,,1150,5251,21113920,01To10,12,N5,N5,5050,32 MA,DEPOT,4375,0.002742857142857143
263,,263,{},1450709139,1450709139,19,19,,,1150,5252,21113920,01To10,17,N5,N5,5040,32 MA,DEPOT,4375,0.0038857142857142857
264,,264,{},1450709139,1450709139,19,19,,,1150,5301,21113920,01To10,22,N5,N5,5040,32 MA,DEPOT,4375,0.005028571428571428
265,,265,{},1450709139,1450709139,19,19,,,1150,5303,21113920,01To10,59,N5,N5,5040,18 FT,DEPOT,1750,0.03371428571428572
266,,266,{},1450709139,1450709139,19,19,,,1150,5305,21113920,01To10,26,N5,N5,5040,32 MA,DEPOT,4375,0.005942857142857143
267,,267,{},1450709139,1450709139,19,19,,,1150,5306,21113920,01To10,11,N5,N5,5040,32 MA,DEPOT,4375,0.002514285714285714
268,,268,{},1450709139,1450709139,19,19,,,1150,5307,21113920,01To10,85,N5,N5,5040,32 MA,DEPOT,4375,0.019428571428571427
269,,269,{},1450709139,1450709139,19,19,,,1150,6003,21113920,01To10,12,E4,E4,6000,32 MA,DEPOT,4375,0.002742857142857143
270,,270,{},1450709139,1450709139,19,19,,,1150,6004,21113920,01To10,7,E4,E4,6000,32 MA,DEPOT,4375,0.0016
271,,271,{},1450709139,1450709139,19,19,,,1150,6012,21113920,01To10,8,E4,E4,6000,18 FT,DEPOT,1750,0.004571428571428572
272,,272,{},1450709139,1450709139,19,19,,,1150,6053,21113920,01To10,135,E4,E4,BHUBANESHWAR MOGO,32 MA,DEPOT,4375,0.030857142857142857
273,,273,{},1450709139,1450709139,19,19,,,1150,6102,21113920,01To10,43,E4,E4,6000,32 MA,DEPOT,4375,0.009828571428571428
274,,274,{},1450709139,1450709139,19,19,,,1150,6103,21113920,01To10,38,E4,E4,6000,18 FT,DEPOT,1750,0.021714285714285714
275,,275,{},1450709139,1450709139,19,19,,,1150,6104,21113920,01To10,23,E4,E4,6000,32 MA,DEPOT,4375,0.005257142857142857
276,,276,{},1450709139,1450709139,19,19,,,1150,6105,21113920,01To10,21,E4,E4,6000,32 MA,DEPOT,4375,0.0048
277,,277,{},1450709139,1450709139,19,19,,,1150,6201,21113920,01To10,8,E3,E3,6200,32 MA,DEPOT,4375,0.0018285714285714285
278,,278,{},1450709139,1450709139,19,19,,,1150,6202,21113920,01To10,22,E3,E3,6200,32 MA,DEPOT,4375,0.005028571428571428
279,,279,{},1450709139,1450709139,19,19,,,1150,6203,21113920,01To10,13,E3,E3,6200,32 MA,DEPOT,4375,0.0029714285714285715
280,,280,{},1450709139,1450709139,19,19,,,1150,6205,21113920,01To10,6,E3,E3,6200,32 MA,DEPOT,4375,0.0013714285714285714
281,,281,{},1450709139,1450709139,19,19,,,1150,7001,21113920,01To10,34,W3_1,W3,7000,32 MA,DEPOT,4375,0.0077714285714285715
