Plant,Cluster,TruckType,Destination,Total
1150/1180,N6,32 SA,5108,0
1150/1180,N6,32 SA,5109,0
1150/1180,N6,32 SA,5111,0
1150/1180,N6,32 SA,5112,0
1150/1180,N6,32 SA,5114,0
1150/1180,N6,32 SA,5116,0
1150/1180,N6,32 SA,5120,1
1150/1180,N6,32 SA,400025,1
1150/1180,N6,32 SA,400083,1
1150/1180,N6,32 SA,400314,3
1150/1180,N6,32 SA,DHARUHERA RDC,1
1150/1180,N6,32 SA,GURGAON RDC,1
1150/1180,N6,32 SA,JAIPUR RDC,3
1150/1180,S,32 MA,7104,0
1150/1180,S,32 MA,8001,1
1150/1180,S,32 MA,8002,0
1150/1180,S,32 MA,8003,1
1150/1180,S,32 MA,8004,0
1150/1180,S,32 MA,8005,0
1150/1180,S,32 MA,8006,1
1150/1180,S,32 MA,8051,0
1150/1180,S,32 MA,8053,0
1150/1180,S,32 MA,8054,0
1150/1180,S,32 MA,8055,0
1150/1180,S,32 MA,8104,0
1150/1180,S,32 MA,8105,0
1150/1180,S,32 MA,8107,0
1150/1180,S,32 MA,8150,7
1150/1180,S,32 MA,8151,3
1150/1180,S,32 MA,8153,4
1150/1180,S,32 MA,8155,3
1150/1180,S,32 MA,8156,4
1150/1180,S,32 MA,8251,6
1150/1180,S,32 MA,8253,0
1150/1180,S,32 MA,8254,3
1150/1180,S,32 MA,8255,4
1150/1180,S,32 MA,8256,2
1150/1180,S,32 MA,8257,1
1150/1180,S,32 MA,8258,1
1150/1180,S,32 MA,8261,1
1150/1180,S,32 MA,8300,2
1150/1180,S,32 MA,8303,1
1150/1180,S,32 MA,8305,1
1150/1180,S,32 MA,8312,0
1150/1180,S,32 MA,8313,0
1150/1180,S,32 MA,8315,0
1150/1180,S,32 MA,8351,1
1150/1180,S,32 MA,8352,1
1150/1180,S,32 MA,8353,1
1150/1180,S,32 MA,8355,0
1150/1180,S,32 MA,8356,0
1150/1180,S,32 MA,400031,5
1150/1180,S,32 MA,400060,2
1150/1180,S,32 MA,400061,1
1150/1180,S,32 MA,400310,0
1150/1180,S,32 MA,400311,6
1150/1180,S,32 MA,CHENNAI RDC,15
1150/1180,S,32 MA,HYDERABAD RDC,9
1150/1180,S,32 MA,PUNE RDC,2
1150/1180,S,32 SA,8001,0
1150/1180,S,32 SA,8003,0
1150/1180,S,32 SA,8004,0
1150/1180,S,32 SA,8005,0
1150/1180,S,32 SA,8006,0
1150/1180,S,32 SA,8051,0
1150/1180,S,32 SA,8052,0
1150/1180,S,32 SA,8054,0
1150/1180,S,32 SA,8055,0
1150/1180,S,32 SA,8104,0
1150/1180,S,32 SA,8150,4
1150/1180,S,32 SA,8151,0
1150/1180,S,32 SA,8153,0
1150/1180,S,32 SA,8155,1
1150/1180,S,32 SA,8156,0
1150/1180,S,32 SA,8251,1
1150/1180,S,32 SA,8252,0
1150/1180,S,32 SA,8253,0
1150/1180,S,32 SA,8254,0
1150/1180,S,32 SA,8255,0
1150/1180,S,32 SA,8256,0
1150/1180,S,32 SA,8257,0
1150/1180,S,32 SA,8258,0
1150/1180,S,32 SA,8261,0
1150/1180,S,32 SA,8300,1
1150/1180,S,32 SA,8301,0
1150/1180,S,32 SA,8302,0
1150/1180,S,32 SA,8303,0
1150/1180,S,32 SA,8304,0
1150/1180,S,32 SA,8305,0
1150/1180,S,32 SA,8306,0
1150/1180,S,32 SA,8311,0
1150/1180,S,32 SA,8312,0
1150/1180,S,32 SA,8313,0
1150/1180,S,32 SA,8351,0
1150/1180,S,32 SA,8352,0
1150/1180,S,32 SA,8353,0
1150/1180,S,32 SA,8354,0
1150/1180,S,32 SA,8355,0
1150/1180,S,32 SA,8356,0
1150/1180,S,32 SA,400024,1
1150/1180,S,32 SA,400047,1
1150/1180,S,32 SA,400063,1
1150/1180,S,32 SA,400074,3
1150/1180,S,32 SA,400310,0
1150/1180,S,32 SA,400327,0
1150/1180,S,32 SA,CHENNAI RDC,4
1150/1180,S,32 SA,HYDERABAD RDC,4
1150/1180,S,32 SA,PUNE RDC,1
1150/1180,W3,32 MA,7000,0
1150/1180,W3,32 MA,7001,3
1150/1180,W3,32 MA,7002,3
1150/1180,W3,32 MA,7003,1
1150/1180,W3,32 MA,7004,1
1150/1180,W3,32 MA,7051,3
1150/1180,W3,32 MA,7052,0
1150/1180,W3,32 MA,7053,0
1150/1180,W3,32 MA,7054,1
1150/1180,W3,32 MA,7100,0
1150/1180,W3,32 MA,7102,4
1150/1180,W3,32 MA,7103,2
