Cluster,TruckType,Destination,operator,Part,Date
E3,32 MA,6200,DGFC,SG1,3
E3,32 MA,6203,DGFC,SG2,6
E3,32 MA,6202,DGFC,SG2,8
W3,32 MA,7150,DGFC,SG2,10
W3,32 MA,7102,DGFC,SG1,5
W3_1,32 MA,7000,DGFC,SG1,2
W3,32 MA,7105,DGFC,SG2,7
W3,32 MA,7150,DGFC,SG1,4
E3,32 MA,6201,DGFC,SG1,1
W3_1,32 MA,7000,DGFC,SG2,9
W3,32 MA,7105,DGFC,SG1,3
W3,32 MA,7102,DGFC,SG2,6
N6,32 MA,5107,DRS,SG2,8
N6,32 MA,5106,DRS,SG2,10
N5,32 MA,5040,DRS,SG1,5
N6,32 MA,5051,DRS,SG1,2
N5,32 MA,5050,DRS,SG2,7
N5,32 MA,5053,DRS,SG2,9
W3,32 MA,7105,EAST INDIA,SG2,6
W3_1,32 MA,7001,EAST INDIA,SG1,4
W3_1,32 MA,7001,EAST INDIA,SG2,8
W3,32 MA,7150,EAST INDIA,SG1,1
W3,32 MA,7151,EAST INDIA,SG2,10
W3,32 MA,7152,EAST INDIA,SG2,7
W3,32 MA,7105,EAST INDIA,SG1,3
S,32 MA,8150,EXPRESS,SG2,9
W3_1,32 MA,7002,EXPRESS,SG2,6
S,32 MA,4000,EXPRESS,SG1,5
W3_1,32 MA,7001,EXPRESS,SG1,2
W3,32 MA,7152,EXPRESS,SG2,8
S,32 MA,8151,EXPRESS,SG1,4
S,32 MA,8151,EXPRESS,SG2,10
S,32 MA,4000,EXPRESS,SG1,1
N4,32 MA,5050,EXPRESS,SG2,7
N4,32 MA,5054,EXPRESS,SG1,3
N4,32 MA,5054,EXPRESS,SG2,9
N4,32 MA,5071,EXPRESS,SG1,5
N4,32 MA,104932,EXPRESS,SG2,6
N4,32 MA,400020,EXPRESS,SG2,8
S,32 MA,4000,EXPRESS,SG2,10
N4,32 MA,5050,EXPRESS,SG1,2
W3,32 MA,7152,EXPRESS,SG1,4
W3,32 MA,7161,EXPRESS,SG2,7
S,32 MA,4001,EXPRESS,SG1,1
W3,32 MA,7157,EXPRESS,SG2,9
W3,32 MA,7155,EXPRESS,SG1,3
W3,32 MA,7154,EXPRESS,SG2,6
W3,32 MA,7154,EXPRESS,SG1,5
W3,32 MA,7151,EXPRESS,SG2,8
W3,32 MA,7153,EXPRESS,SG2,10
W3,32 MA,7153,EXPRESS,SG1,2
W3,32 MA,7151,EXPRESS,SG1,4
S,32 MA,8150,EXPRESS,SG1,1
S,32 MA,4000,EXPRESS,SG2,7
S,32 MA,8150,EXPRESS,SG2,9
S,32 MA,4001,EXPRESS,SG2,6
W3_1,32 MA,7002,EXPRESS,SG1,3
S,32 MA,4003,EXPRESS,SG1,5
S,32 MA,4003,EXPRESS,SG2,8
S,32 MA,8150,EXPRESS,SG1,2
W3_1,32 MA,7003,EXPRESS,SG2,10
S,18 FT,8252,GNANABELLA,SG2,7
S,18 FT,8252,GNANABELLA,SG1,4
E3,32 MA,6204,KAPOOR,SG2,9
E3,32 MA,6202,KAPOOR,SG1,1
E4,32 MA,6000,KAPOOR,SG1,3
E3,32 MA,6203,KAPOOR,SG2,6
E4,32 MA,6001,KAPOOR,SG1,5
E4,32 MA,6003,KAPOOR,SG1,2
E4,32 MA,6004,KAPOOR,SG2,8
E4,32 MA,6011,KAPOOR,SG2,10
E4,32 MA,6000,KAPOOR,SG2,7
S,18 FT,8302,KTC,SG1,4
S,18 FT,8302,KTC,SG2,9
S,18 FT,8304,KTC,SG1,1
S,18 FT,8306,KTC,SG2,6
S,18 FT,8311,KTC,SG2,8
E3,32 MA,6205,KTC,SG1,3
E3,32 MA,6205,KTC,SG2,10
E4,32 MA,6053,KTC,SG2,7
S,18 FT,8354,KTC,SG2,9
S,18 FT,8354,KTC,SG2,6
S,18 FT,400068,KTC,SG2,8
S,18 FT,400068,KTC,SG2,10
S,18 FT,400068,KTC,SG2,7
S,18 FT,8103,KTC,SG1,5
S,18 FT,8103,KTC,SG2,9
E4,32 MA,6013,KTC,SG2,6
S,18 FT,8106,KTC,SG1,2
S,18 FT,8106,KTC,SG2,8
S,18 FT,8252,KTC,SG1,4
S,18 FT,8252,KTC,SG2,10
S,18 FT,7150,KTC,SG1,1
S,18 FT,8052,KTC,SG1,3
S,18 FT,8052,KTC,SG2,7
S,18 FT,8102,KTC,SG1,5
S,18 FT,8252,KTC,SG1,2
S,18 FT,8300,KTC,SG1,4
S,18 FT,8300,KTC,SG2,9
S,18 FT,8102,KTC,SG2,6
E4,32 MA,6004,KTC,SG1,1
S,18 FT,8301,KTC,SG1,3
N4,32 MA,400057,LG BROTHERS,SG2,8
N4,32 MA,400057,LG BROTHERS,SG1,5
N5,32 MA,5055,LG BROTHERS,SG2,10
N4,32 MA,400021,LG BROTHERS,SG2,7
N5,32 MA,5050,LG BROTHERS,SG2,9
N5,32 MA,5050,LG BROTHERS,SG1,2
N4,32 MA,400021,LG BROTHERS,SG1,4
N4,32 MA,400058,LG BROTHERS,SG1,1
N4,32 MA,400058,LG BROTHERS,SG2,6
N6,32 MA,5120,LG BROTHERS,SG2,8
N6,32 MA,5120,LG BROTHERS,SG2,10
N6,32 MA,5107,LG BROTHERS,SG1,3
N4,32 SA,400211,LGB,SG2,7
N5,32 SA,5040,LGB,SG1,5
N4,32 SA,400076,LGB,SG1,2
N4,32 SA,400211,LGB,SG2,9
N4,32 SA,400076,LGB,SG2,6
N6,32 SA,400083,LGB,SG2,8
N4,32 SA,400076,LGB,SG2,10
N4,32 SA,400076,LGB,SG1,4
N4,32 SA,400211,LGB,SG2,7
N6,32 SA,400025,LGB,SG2,9
N4,32 SA,400057,LGB,SG1,1
N4,32 SA,5050,LGB,SG1,3
N6,32 SA,5120,LGB,SG2,6
N6,32 SA,5106,LGB,SG1,5
N6,32 SA,5050,LGB,SG1,2
N5,32 SA,5050,LGB,SG2,8
N4,32 SA,400211,LGB,SG2,10
N4,32 SA,400211,LGB,SG1,4
S,18 FT,8102,MEGA,SG2,7
S,18 FT,8300,MEGA,SG1,1
W3_1,32 MA,7003,MEGA,SG1,3
S,18 FT,8311,MEGA,SG2,9
S,18 FT,8300,MEGA,SG2,6
S,18 FT,8252,MEGA,SG2,8
S,18 FT,8252,MEGA,SG1,5
S,18 FT,8103,MEGA,SG1,2
W3_1,32 MA,7051,MEGA,SG2,10
S,18 FT,8102,MEGA,SG1,4
W3,32 MA,7151,MEGA,SG1,1
W3,32 MA,7152,MEGA,SG1,3
W3,32 MA,7152,MEGA,SG2,7
W3,32 MA,7157,MEGA,SG1,5
W3,32 MA,7250,MEGA,SG2,9
W3,32 MA,400003,MEGA,SG2,6
E3,32 MA,6207,NCS,SG2,8
E4,32 MA,6013,NCS,SG1,2
E4,32 MA,6102,NCS,SG2,10
E4,32 MA,6053,NCS,SG2,7
N6,32 SA,400314,RCI,SG2,9
N4,32 SA,400211,RCI,SG1,4
N4,32 SA,400076,RCI,SG1,1
N6,32 SA,400314,RCI,SG2,6
N4,32 SA,400076,RCI,SG2,8
N4,32 MA,400059,RCI,SG2,10
N4,32 MA,400021,RCI,SG2,7
N4,32 MA,400021,RCI,SG1,3
N4,32 SA,400211,RCI,SG2,9
N4,32 SA,400211,RCI,SG1,5
W3_1,32 MA,7051,RCI,SG2,6
N4,32 MA,400059,RCI,SG1,2
N5,32 MA,5061,RCI,SG1,4
N5,32 MA,5251,RCI,SG1,1
N5,32 MA,5251,RCI,SG2,8
N5,32 MA,5252,RCI,SG2,10
N5,32 MA,5301,RCI,SG2,7
N4,32 SA,400211,RCI,SG2,9
N4,32 MA,400286,RCI,SG1,3
N4,32 MA,400286,RCI,SG2,6
N4,32 MA,400286,RCI,SG1,5
N6,32 MA,5120,RCI,SG1,2
N4,32 SA,400211,RCI,SG1,4
N4,32 SA,400076,RCI,SG1,1
N5,32 SA,400011,RCI,SG1,3
N5,32 SA,400011,RCI,SG2,8
N6,32 MA,5120,RCI,SG2,10
W4,32 MA,5050,RCI,SG1,5
W4,32 MA,7250,RCI,SG1,2
W4,32 MA,7250,RCI,SG2,7
W4,32 MA,7251,RCI,SG1,4
W4,32 MA,7251,RCI,SG2,9
W4,32 MA,7252,RCI,SG1,1
W4,32 MA,7252,RCI,SG2,6
W4,32 MA,7253,RCI,SG1,3
W4,32 MA,7254,RCI,SG2,8
W4,32 MA,7301,RCI,SG2,10
W4,32 MA,7302,RCI,SG2,7
N4,32 MA,400286,RCI,SG2,9
N4,32 MA,400058,RCI,SG2,6
W4,32 MA,7304,RCI,SG2,8
E4,32 MA,6053,RCI,SG2,10
E4,32 MA,6053,RCI,SG1,5
N4,32 MA,400293,RCI,SG2,7
N6,32 MA,400025,RCI,SG1,2
N6,32 MA,400025,RCI,SG2,9
N4,32 MA,400058,RCI,SG1,4
W3_1,32 MA,400350,RCI,SG2,6
W3_1,32 MA,7054,RCI,SG1,1
W3,32 MA,7152,RCI,SG1,3
N4,32 SA,400211,RCI,SG2,8
N4,32 SA,400211,RCI,SG2,10
N4,32 SA,400211,RCI,SG2,7
W3,32 MA,400003,RCI,SG1,5
W3,32 MA,400034,RCI,SG1,2
W3,32 MA,400038,RCI,SG2,9
W3,32 MA,400075,RCI,SG2,6
W3,32 MA,NAVI MUMBAI MOGO,RCI,SG2,8
N6,32 SA,400314,RCI,SG1,4
W3_1,32 MA,7051,RCI,SG1,1
W3,32 MA,400038,SWASTIK,SG1,3
W4,32 MA,7254,SWASTIK,SG2,10
W3,32 MA,NAGPUR MOGO,SWASTIK,SG2,7
W4,32 MA,7301,SWASTIK,SG2,9
W4,32 MA,7251,SWASTIK,SG1,5
W3,32 MA,400038,SWASTIK,SG2,6
W4,32 MA,7250,SWASTIK,SG1,2
W4,32 MA,7252,SWASTIK,SG1,4
W4,32 MA,7250,SWASTIK,SG2,8
E3,32 MA,6207,TRIMURTHI,SG2,10
W4,32 MA,400295,TRUE FREIGHT,SG2,7
W4,32 MA,104687,TRUE FREIGHT,SG1,1
W4,32 MA,7302,TRUE FREIGHT,SG2,9
W4,32 MA,7302,TRUE FREIGHT,SG1,3
W4,32 MA,400295,TRUE FREIGHT,SG2,6
E4,32 MA,6102,VARUNA,SG1,5
E4,32 MA,6104,VARUNA,SG2,8
E4,32 MA,6105,VARUNA,SG2,10
S,32 MA,4000,VARUNA,SG1,2
N5,32 SA,400044,VARUNA,SG2,7
N5,32 MA,5307,VARUNA,SG2,9
N5,32 MA,5306,VARUNA,SG2,6
N5,32 MA,5305,VARUNA,SG1,4
N5,32 MA,5301,VARUNA,SG2,8
N5,32 MA,5301,VARUNA,SG1,1
N6,32 SA,400314,VARUNA,SG2,10
N6,32 SA,400314,VARUNA,SG1,3
N6,32 MA,400025,VARUNA,SG2,7
N6,32 MA,5120,VARUNA,SG2,9
N6,32 MA,5120,VARUNA,SG1,5
E4,32 MA,6102,VARUNA,SG1,2
E3,32 MA,6207,VARUNA,SG1,4
E3,32 MA,400035,VARUNA,SG1,1
E3,32 MA,400035,VARUNA,SG2,6
E3,32 MA,400035,VARUNA,SG2,8
N4,32 SA,400211,VARUNA,SG2,10
N4,32 SA,400211,VARUNA,SG2,7
N4,32 SA,400211,VARUNA,SG1,3
N4,32 SA,400211,VARUNA,SG2,9
N4,32 SA,400211,VARUNA,SG1,5
N4,32 SA,400211,VARUNA,SG2,6
N4,32 SA,400211,VARUNA,SG1,2
N4,32 SA,400211,VARUNA,SG2,8
N4,32 SA,400211,VARUNA,SG1,4
N4,32 SA,400211,VARUNA,SG2,10
N4,32 SA,400211,VARUNA,SG1,1
S,32 MA,4000,VARUNA,SG2,7
N4,32 SA,400076,VARUNA,SG2,9
N4,32 SA,400076,VARUNA,SG1,3
N4,32 MA,400335,VARUNA,SG2,6
E4,32 MA,6102,VARUNA,SG2,8
N4,32 MA,400304,VARUNA,SG2,10
N4,32 MA,400304,VARUNA,SG1,5
N4,32 MA,400286,VARUNA,SG2,7
N4,32 MA,400286,VARUNA,SG1,2
N4,32 MA,400286,VARUNA,SG2,9
N4,32 MA,400286,VARUNA,SG1,4
N4,32 MA,400058,VARUNA,SG1,1
N4,32 MA,400021,VARUNA,SG2,6
N4,32 MA,400021,VARUNA,SG1,3
S,32 MA,8251,VARUNA,SG2,8
S,32 MA,8251,VARUNA,SG2,10
S,32 MA,8156,VARUNA,SG2,7
S,32 MA,8156,VARUNA,SG2,9
S,32 MA,8156,VARUNA,SG2,6
S,32 MA,8155,VARUNA,SG2,8
S,32 MA,8155,VARUNA,SG2,10
S,32 MA,8153,VARUNA,SG2,7
S,32 MA,8153,VARUNA,SG2,9
S,32 MA,8153,VARUNA,SG2,6
S,32 MA,8151,VARUNA,SG2,8
S,32 MA,8151,VARUNA,SG1,5
S,32 MA,8150,VARUNA,SG2,10
S,32 MA,8150,VARUNA,SG1,2
S,32 MA,8150,VARUNA,SG2,7
S,32 MA,8150,VARUNA,SG1,4
S,32 MA,8105,VARUNA,SG1,1
S,32 MA,8104,VARUNA,SG1,3
S,32 MA,8053,VARUNA,SG1,5
S,32 MA,8006,VARUNA,SG1,2
S,32 MA,8005,VARUNA,SG1,4
S,32 MA,8003,VARUNA,SG1,1
S,32 MA,8001,VARUNA,SG1,3
S,32 MA,7150,VARUNA,SG2,9
S,32 MA,7150,VARUNA,SG1,5
S,32 MA,4003,VARUNA,SG2,6
S,32 MA,4003,VARUNA,SG1,2
S,32 MA,4001,VARUNA,SG2,8
S,32 MA,4001,VARUNA,SG1,4
S,32 MA,4000,VARUNA,SG2,10
S,32 MA,4000,VARUNA,SG1,1
N4,32 MA,400308,VARUNA,SG2,7
