Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1150/1180,N4,N4,32 MA,400059,2
1150/1180,N4,N4,32 MA,400286,8
1150/1180,N4,N4,32 MA,400293,1
1150/1180,N4,N4,32 MA,400304,2
1150/1180,N4,N4,32 MA,400308,1
1150/1180,N4,N4,32 MA,400335,1
1150/1180,N4,N4,32 SA,5050,1
1150/1180,N4,N4,32 SA,5054,0
1150/1180,N4,N4,32 SA,5071,0
1150/1180,N4,N4,32 SA,400057,1
1150/1180,N4,N4,32 SA,400076,9
1150/1180,N4,N4,32 SA,400211,24
1150/1180,N4,N4_1,32 MA,5050,2
1150/1180,N4,N4_1,32 MA,5115,0
1150/1180,N4,N4_1,32 MA,5151,2
1150/1180,N4,N4_1,32 MA,5152,3
1150/1180,N4,N4_1,32 MA,5153,1
1150/1180,N4,N4_1,32 MA,5155,1
1150/1180,N4,N4_1,32 MA,5157,1
1150/1180,N4,N4_1,32 MA,5201,2
1150/1180,N4,N4_1,32 MA,5202,0
1150/1180,N4,N4_1,32 MA,5203,2
1150/1180,N4,N4_1,32 MA,5206,1
1150/1180,N4,N4_1,32 MA,6200,1
1150/1180,N4,N4_1,32 SA,5050,2
1150/1180,N4,N4_1,32 SA,5115,0
1150/1180,N4,N4_1,32 SA,5120,1
1150/1180,N4,N4_1,32 SA,5151,0
1150/1180,N4,N4_1,32 SA,5153,0
1150/1180,N4,N4_1,32 SA,5155,0
1150/1180,N4,N4_1,32 SA,5201,0
1150/1180,N4,N4_1,32 SA,5202,0
1150/1180,N4,N4_1,32 SA,5203,0
1150/1180,N4,N4_1,32 SA,5206,0
1150/1180,N4,N4_1,32 SA,6200,1
1150/1180,N6,N6,32 MA,5040,1
1150/1180,N6,N6,32 MA,5051,2
1150/1180,N6,N6,32 MA,5101,1
1150/1180,N6,N6,32 MA,5102,0
1150/1180,N6,N6,32 MA,5103,0
1150/1180,N6,N6,32 MA,5104,0
1150/1180,N6,N6,32 MA,5105,0
1150/1180,N6,N6,32 MA,5106,1
1150/1180,N6,N6,32 MA,5107,2
1150/1180,N6,N6,32 MA,5108,0
1150/1180,N6,N6,32 MA,5109,0
1150/1180,N6,N6,32 MA,5111,0
1150/1180,N6,N6,32 MA,5112,0
1150/1180,N6,N6,32 MA,5114,0
1150/1180,N6,N6,32 MA,5116,0
1150/1180,N6,N6,32 MA,5120,6
1150/1180,N6,N6,32 MA,400025,3
1150/1180,N6,N6,32 SA,5050,1
1150/1180,N6,N6,32 SA,5051,0
1150/1180,N6,N6,32 SA,5106,1
1150/1180,N6,N6,32 SA,5107,0
1150/1180,N6,N6,32 SA,5112,0
1150/1180,N6,N6,32 SA,5114,0
1150/1180,N6,N6,32 SA,5120,1
1150/1180,N6,N6,32 SA,400025,1
1150/1180,N6,N6,32 SA,400083,1
1150/1180,N6,N6,32 SA,400314,5
1150/1180,N5,N5,32 MA,5040,3
1150/1180,N5,N5,32 MA,5050,3
1150/1180,N5,N5,32 MA,5052,0
1150/1180,N5,N5,32 MA,5053,1
1150/1180,N5,N5,32 MA,5055,1
1150/1180,N5,N5,32 MA,5061,1
1150/1180,N5,N5,32 MA,5251,2
1150/1180,N5,N5,32 MA,5252,1
1150/1180,N5,N5,32 MA,5301,3
1150/1180,N5,N5,32 MA,5305,1
1150/1180,N5,N5,32 MA,5306,1
1150/1180,N5,N5,32 MA,5307,1
1150/1180,N5,N5,32 MA,5309,0
1150/1180,N5,N5,32 SA,5040,1
1150/1180,N5,N5,32 SA,5050,1
1150/1180,N5,N5,32 SA,5052,0
1150/1180,N5,N5,32 SA,5252,0
1150/1180,N5,N5,32 SA,400011,2
1150/1180,N5,N5,32 SA,400044,1
1150/1180,N5,N5,18 FT,5040,1
1150/1180,N5,N5,18 FT,5303,2
1150/1180,W4,W4,32 MA,5050,1
1150/1180,W4,W4,32 MA,5156,0
1150/1180,W4,W4,32 MA,7250,4
1150/1180,W4,W4,32 MA,7251,3
1150/1180,W4,W4,32 MA,7252,3
1150/1180,W4,W4,32 MA,7253,1
1150/1180,W4,W4,32 MA,7254,2
1150/1180,W4,W4,32 MA,7301,2
1150/1180,W4,W4,32 MA,7302,3
1150/1180,W4,W4,32 MA,7304,1
1150/1180,W4,W4,32 MA,104687,1
1150/1180,W4,W4,32 MA,400295,2
1150/1180,W4,W4,32 SA,5050,1
1150/1180,W4,W4,32 SA,5156,0
1150/1180,W4,W4,32 SA,7250,2
