Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType
1110,1110,8004,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.3037777777777778,0,0.3037777777777778,0.3037777777777778
1110,1110,8005,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,1.2512063492063492,1,0.2512063492063492,0.2512063492063492
1110,1110,8006,S,S,8300,DEPOT,32 MA,32 MA,S,S,DEPOT,32 MA,18 FT,0.3177142857142857,0,0.3177142857142857,0.15885714285714286
1110,1110,8051,S,S,7150,DEPOT,18 FT,32 MA,W1,W1,DEPOT,32 MA,18 FT,0.092,0,0.092,0.092
1110,1110,8052,S,S,7150,DEPOT,18 FT,18 FT,W1,W1,DEPOT,32 MA,18 FT,0.20400000000000001,0,0.20400000000000001,0.20400000000000001
1110,1110,8054,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.17555555555555555,0,0.17555555555555555,0.17555555555555555
1110,1110,8055,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.23333333333333334,0,0.23333333333333334,0.23333333333333334
1110,1110,8102,S,S,8300,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,0.1,0,0.1,0.1
1110,1110,8103,S,S,8300,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,0.068,0,0.068,0.068
1110,1110,8104,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.124,0,0.124,0.124
1110,1110,8105,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.09,0,0.09,0.09
1110,1110,8106,S,S,8300,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,0.22499999999999998,0,0.22499999999999998,0.22499999999999998
1110,1110,8107,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.11,0,0.11,0.11
1110,1110,8150,S,S,8150,DEPOT,32 MA,32 MA,S,S,DEPOT,32 MA,18 FT,4.950252100840336,4,0.950252100840336,0.475126050420168
1110,1110,8151,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.6014285714285714,0,0.6014285714285714,0.6014285714285714
1110,1110,8153,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.6114285714285714,0,0.6114285714285714,0.6114285714285714
1110,1110,8155,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.15000000000000002,0,0.15000000000000002,0.15000000000000002
1110,1110,8156,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.95,0,0.95,0.95
1110,1110,8251,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,2.3980952380952383,2,0.3980952380952383,0.3980952380952383
1110,1110,8252,S,S,8150,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,1.882142857142857,1,0.8821428571428569,0.8821428571428569
1110,1110,8253,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.5006666666666666,0,0.5006666666666666,0.5006666666666666
1110,1110,8254,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.25555555555555554,0,0.25555555555555554,0.25555555555555554
1110,1110,8255,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,1.5803968253968255,1,0.5803968253968255,0.5803968253968255
1110,1110,8256,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,1.6370634920634919,1,0.6370634920634919,0.6370634920634919
1110,1110,8258,S,S,8300,DEPOT,32 MA,32 MA,S,S,DEPOT,32 MA,18 FT,0.6419047619047619,0,0.6419047619047619,0.32095238095238093
1110,1110,8261,S,S,8150,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.05,0,0.05,0.05
1110,1110,8300,S,S,8300,DEPOT,32 MA,32 MA,S,S,DEPOT,32 MA,18 FT,5.673361344537815,5,0.673361344537815,0.3366806722689075
1110,1110,8301,S,S,8300,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,0.903562801932367,0,0.903562801932367,0.903562801932367
1110,1110,8302,S,S,8300,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,0.20641304347826087,0,0.20641304347826087,0.20641304347826087
1110,1110,8303,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,1.5823913043478262,1,0.5823913043478262,0.5823913043478262
1110,1110,8304,S,S,8300,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,1.3133926846100759,1,0.31339268461007586,0.31339268461007586
1110,1110,8305,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,1.636825396825397,1,0.636825396825397,0.636825396825397
1110,1110,8306,S,S,8300,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,0.9656521739130436,0,0.9656521739130436,0.9656521739130436
1110,1110,8311,S,S,8300,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,0.6825714285714286,0,0.6825714285714286,0.6825714285714286
1110,1110,8312,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.6238695652173912,0,0.6238695652173912,0.6238695652173912
1110,1110,8313,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.4763913043478261,0,0.4763913043478261,0.4763913043478261
1110,1110,8315,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.052000000000000005,0,0.052000000000000005,0.052000000000000005
1110,1110,8351,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,1.2508478260869564,1,0.25084782608695644,0.25084782608695644
1110,1110,8352,S,S,8300,DEPOT,32 MA,32 MA,S,S,DEPOT,32 MA,18 FT,0.8341552795031058,0,0.8341552795031058,0.4170776397515529
1110,1110,8353,S,S,8300,DEPOT,32 MA,32 MA,S,S,DEPOT,32 MA,18 FT,1.4190372670807454,1,0.4190372670807454,0.2095186335403727
1110,1110,8354,S,S,8300,DEPOT,18 FT,18 FT,S,S,DEPOT,32 MA,18 FT,1.802608695652174,1,0.8026086956521741,0.8026086956521741
1110,1110,8355,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.8703229813664597,0,0.8703229813664597,0.8703229813664597
1110,1110,8356,S,S,8300,DEPOT,18 FT,32 MA,S,S,DEPOT,32 MA,18 FT,0.8035396825396826,0,0.8035396825396826,0.8035396825396826
1110,1110,400024,S,S,,OEM,18 FT,32 MA,,,,,18 FT,5.875,6,0,0
1110,1110,400044,N2,N2,,OEM,32 MA,32 MA,,,,,18 FT,1.1764705882352942,2,0,0
1110,1110,400047,S,S,,OEM,18 FT,32 MA,,,,,18 FT,5.875,6,0,0
1110,1110,400054,S,S,,OEM,18 FT,32 MA,,,,,18 FT,3.6,4,0,0
1110,1110,400057,N1,N1,,OEM,32 MA,32 MA,,,,,18 FT,4.625,5,0,0
1110,1110,400062,E2,E2,,OEM,32 MA,32 MA,,,,,18 FT,0.2,1,0,0
1110,1110,400063,S,S,,OEM,18 FT,32 MA,,,,,18 FT,1.125,2,0,0
1110,1110,400241,W1,W1_1,,OEM,32 MA,32 MA,,,,,18 FT,0.5,1,0,0
1110,1110,400307,E2,E2,,OEM,32 MA,32 MA,,,,,18 FT,0.2,1,0,0
1110,1110,400341,W1,W1_1,,OEM,32 MA,32 MA,,,,,18 FT,0.5,1,0,0
1120,1120,4000,S,S,,EXPORT,18 FT,32 MA,,,,,18 FT,2.902559523809524,3,0,0
1120,1120,4001,S,S,,EXPORT,18 FT,32 MA,,,,,18 FT,4.666666666666666,5,0,0
1120,1120,4002,E5,E5,,EXPORT,32 MA,32 MA,,,,,18 FT,3.842428571428571,4,0,0
1120,1120,4003,S,S,,EXPORT,18 FT,32 MA,,,,,18 FT,7.137666666666666,8,0,0
1120,1120,5001,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.0016,0,0.0016,0.0008
1120,1120,5002,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.3342873015873015,0,0.3342873015873015,0.16714365079365076
1120,1120,5004,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.003,0,0.003,0.0015
1120,1120,5006,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.0012,0,0.0012,0.0006
1120,1120,5040,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,2.1310714285714285,2,0.1310714285714285,0.06553571428571425
1120,1120,5050,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,4.255357142857143,4,0.25535714285714306,0.12767857142857153
1120,1120,5051,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.16826190476190478,0,0.16826190476190478,0.08413095238095239
1120,1120,5052,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.2785714285714286,0,0.2785714285714286,0.1392857142857143
1120,1120,5053,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.025364285714285714,0,0.025364285714285714,0.012682142857142857
1120,1120,5054,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.18391785714285716,0,0.18391785714285716,0.09195892857142858
1120,1120,5055,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.14988888888888888,0,0.14988888888888888,0.07494444444444444
1120,1120,5061,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.023508333333333332,0,0.023508333333333332,0.011754166666666666
1120,1120,5071,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.007814285714285715,0,0.007814285714285715,0.003907142857142857
1120,1120,5101,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.027255555555555554,0,0.027255555555555554,0.013627777777777777
1120,1120,5102,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.0703611111111111,0,0.0703611111111111,0.03518055555555555
1120,1120,5103,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.889545634920635,0,0.889545634920635,0.4447728174603175
1120,1120,5104,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,3.9222857142857146,3,0.9222857142857146,0.4611428571428573
1120,1120,5105,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.004,0,0.004,0.002
1120,1120,5106,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.2164484126984127,0,0.2164484126984127,0.10822420634920635
1120,1120,5107,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.1,0,0.1,0.05
1120,1120,5108,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.9760714285714285,0,0.9760714285714285,0.48803571428571424
1120,1120,5109,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.3009900793650794,0,0.3009900793650794,0.1504950396825397
1120,1120,5111,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,18 FT,0.0135,0,0.0135,0.00675
