ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1130,1130,N8,N8_1,18 FT,5151,2
1130,1130,N8,N8_1,18 FT,5152,4
1130,1130,N8,N8_1,18 FT,5153,1
1130,1130,N8,N8_1,18 FT,5155,2
1130,1130,N8,N8_1,18 FT,5157,1
1130,1130,N8,N8_1,18 FT,5203,4
1130,1130,N9,N9,18 FT,5040,2
1130,1130,N9,N9,18 FT,5051,3
1130,1130,N9,N9,18 FT,5101,4
1130,1130,N9,N9,18 FT,5102,4
1130,1130,N9,N9,18 FT,5103,2
1130,1130,N9,N9,18 FT,5104,17
1130,1130,N9,N9,18 FT,5105,4
1130,1130,N9,N9,18 FT,5106,3
1130,1130,N9,N9,18 FT,5107,3
1130,1130,N9,N9,18 FT,5108,3
1130,1130,N9,N9,18 FT,5112,2
1130,1130,N9,N9,18 FT,5114,3
1130,1130,N9,N9,18 FT,5120,9
1130,1130,N9,N9,32 MA,5040,3
1130,1130,N9,N9,32 MA,5120,5
1130,1130,W6,W6,18 FT,7000,2
1130,1130,W6,W6,18 FT,7001,5
1130,1130,W6,W6,18 FT,7002,6
1130,1130,W6,W6,18 FT,7003,3
1130,1130,W6,W6,18 FT,7004,2
1130,1130,W6,W6,18 FT,7051,6
1130,1130,W6,W6,18 FT,7052,5
1130,1130,W6,W6,18 FT,7053,2
1130,1130,W6,W6,18 FT,7054,3
1130,1130,W6,W6,18 FT,7102,22
1130,1130,W6,W6,18 FT,7103,10
1130,1130,W6,W6,18 FT,7105,6
1130,1130,W6,W6,18 FT,7150,8
1130,1130,W6,W6,18 FT,7151,10
1130,1130,W6,W6,18 FT,7152,2
1130,1130,W6,W6,18 FT,7153,9
1130,1130,W6,W6,18 FT,7154,6
1130,1130,W6,W6,18 FT,7155,5
1130,1130,W6,W6,18 FT,7157,4
1130,1130,W6,W6,18 FT,7161,2
1130,1130,W6,W6,18 FT,7250,1
1130,1130,W6,W6,18 FT,7251,10
1130,1130,W6,W6,18 FT,7252,1
1130,1130,W6,W6,18 FT,7253,1
1130,1130,W6,W6,18 FT,7254,3
1130,1130,W6,W6,18 FT,7301,1
1130,1130,W6,W6,18 FT,7302,4
1130,1130,W6,W6,18 FT,104687,6
1130,1130,W6,W6,32 MA,7000,3
1130,1130,W6,W6,32 MA,7102,1
1130,1130,W6,W6,32 MA,7150,3
1130,1130,W6,W6,32 MA,7152,1
1130,1130,W6,W6,32 MA,7250,3
1130,1130,W6,W6,32 MA,7302,1
1140,1140,S,S,18 FT,4000,25
1140,1140,S,S,18 FT,4001,16
1140,1140,S,S,18 FT,4003,6
1140,1140,S,S,18 FT,7104,1
1140,1140,S,S,18 FT,8001,3
1140,1140,S,S,18 FT,8002,1
1140,1140,S,S,18 FT,8003,3
1140,1140,S,S,18 FT,8004,1
1140,1140,S,S,18 FT,8005,2
1140,1140,S,S,18 FT,8006,2
